"Station Name","EDMONTON BLATCHFORD"
"Province","ALBERTA"
"Latitude","53.57"
"Longitude","-113.52"
"Elevation","671.00"
"Climate Identifier","3012209"
"WMO Identifier","71157"
"TC Identifier","XEC"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"","Data for this day has undergone only preliminary quality checking"
"","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2001-01-01","2001","01","01","","2.6","","-6.1","","-1.8","","19.8","","0.0","","0.6","","0.0","","0.6","","1","","","","",""
"2001-01-02","2001","01","02","","1.0","","-3.4","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"2001-01-03","2001","01","03","","7.5","","-0.8","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"2001-01-04","2001","01","04","","5.1","","-2.7","","1.2","","16.8","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"2001-01-05","2001","01","05","","5.5","","-1.7","","1.9","","16.1","","0.0","","0.4","","0.0","","0.4","","2","","","","",""
"2001-01-06","2001","01","06","","4.1","","-3.5","","0.3","","17.7","","0.0","","0.2","","0.0","","0.2","","2","","","","",""
"2001-01-07","2001","01","07","","4.0","","-6.1","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"2001-01-08","2001","01","08","","5.2","","-7.4","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"2001-01-09","2001","01","09","","6.8","","-2.2","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"2001-01-10","2001","01","10","","4.1","","-6.4","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"2001-01-11","2001","01","11","","-1.6","","-10.4","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"2001-01-12","2001","01","12","","-8.0","","-11.3","","-9.7","","27.7","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"2001-01-13","2001","01","13","","-8.3","","-14.5","","-11.4","","29.4","","0.0","","0.0","","0.6","","0.6","","1","","","","",""
"2001-01-14","2001","01","14","","-4.0","","-10.6","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"2001-01-15","2001","01","15","","-5.1","","-14.0","","-9.6","","27.6","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"2001-01-16","2001","01","16","","4.1","","-6.5","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"2001-01-17","2001","01","17","","2.6","","-6.0","","-1.7","","19.7","","0.0","","0.6","","0.0","","0.6","","1","","","","",""
"2001-01-18","2001","01","18","","1.4","","-9.5","","-4.1","","22.1","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
