"Station Name","REGINA RCS"
"Province","SASKATCHEWAN"
"Latitude","50.43"
"Longitude","-104.67"
"Elevation","577.30"
"Climate Identifier","4016699"
"WMO Identifier","71514"
"TC Identifier","WDJ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"","Data for this day has undergone only preliminary quality checking"
"","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2003-01-01","2003","01","01","","-5.5","","-13.4","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"2003-01-02","2003","01","02","","-2.4","","-13.0","","-7.7","","25.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"2003-01-03","2003","01","03","","3.4","","-8.5","","-2.6","","20.6","","0.0","","0.0","","0.7","E","0.7","","","","","","",""
"2003-01-04","2003","01","04","","-0.2","","-12.1","","-6.2","","24.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"2003-01-05","2003","01","05","","-4.8","","-10.8","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"2003-01-06","2003","01","06","","2.4","","-9.7","","-3.7","","21.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"2003-01-07","2003","01","07","","4.4","","-6.3","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"2003-01-08","2003","01","08","","2.7","","-4.1","","-0.7","","18.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"2003-01-09","2003","01","09","","-3.6","","-19.6","","-11.6","","29.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"2003-01-10","2003","01","10","","-17.5","","-29.2","","-23.4","","41.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"2003-01-11","2003","01","11","","-14.9","","-30.0","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"2003-01-12","2003","01","12","","-13.2","","-26.2","","-19.7","","37.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"2003-01-13","2003","01","13","","-19.3","","-27.0","","-23.2","","41.2","","0.0","","0.0","","3.8","E","3.8","","","","","","",""
