"Station Name","WHITEHORSE AUTO"
"Province","YUKON TERRITORY"
"Latitude","60.73"
"Longitude","-135.10"
"Elevation","707.00"
"Climate Identifier","2101310"
"WMO Identifier","71773"
"TC Identifier","VXY"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"","Data for this day has undergone only preliminary quality checking"
"","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2015-01-01","2015","01","01","","-2.7","","-5.3","","-4.0","","22.0","","0.0","","","M","","M","1.1","","21","","","","<31",""
"2015-01-02","2015","01","02","","-5.3","","-23.6","","-14.5","","32.5","","0.0","","","M","","M","0.6","","23","","35","","33",""
"2015-01-03","2015","01","03","","-23.2","","-31.2","","-27.2","","45.2","","0.0","","","M","","M","0.0","","24","","","","<31",""
"2015-01-04","2015","01","04","","-26.0","","-32.3","","-29.2","","47.2","","0.0","","","M","","M","0.0","","24","","","","<31",""
"2015-01-05","2015","01","05","","-27.6","","-34.4","","-31.0","","49.0","","0.0","","","M","","M","0.0","","24","","","","<31",""
"2015-01-06","2015","01","06","","-25.2","","-35.9","","-30.6","","48.6","","0.0","","","M","","M","0.0","T","24","","","","<31",""
"2015-01-07","2015","01","07","","-17.2","","-25.3","","-21.3","","39.3","","0.0","","","M","","M","0.0","","24","","","","<31",""
"2015-01-08","2015","01","08","","-11.6","","-24.8","","-18.2","","36.2","","0.0","","","M","","M","0.0","","24","","","","<31",""
"2015-01-09","2015","01","09","","-9.5","","-12.5","","-11.0","","29.0","","0.0","","","M","","M","0.0","","24","","19","","37",""
"2015-01-10","2015","01","10","","-10.3","","-14.0","","-12.2","","30.2","","0.0","","","M","","M","0.0","","24","","","","<31",""
"2015-01-11","2015","01","11","","-6.3","","-11.2","","-8.8","","26.8","","0.0","","","M","","M","0.0","","24","","","","<31",""
