"Station Name","YELLOWKNIFE A"
"Province","NORTHWEST TERRITORIES"
"Latitude","62.46"
"Longitude","-114.44"
"Elevation","205.70"
"Climate Identifier","2204101"
"WMO Identifier","71936"
"TC Identifier","YZF"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"","Data for this day has undergone only preliminary quality checking"
"","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2015-01-01","2015","01","01","","-24.8","","-30.1","","-27.5","","45.5","","0.0","","0.0","","0.0","T","0.0","T","29","","32","","35",""
"2015-01-02","2015","01","02","","-25.2","","-30.3","","-27.8","","45.8","","0.0","","0.0","","1.4","","1.0","","29","","32","","33",""
"2015-01-03","2015","01","03","","-21.9","","-28.8","","-25.4","","43.4","","0.0","","0.0","","0.6","","0.4","","26","","34","","35",""
"2015-01-04","2015","01","04","","-16.2","","-24.8","","-20.5","","38.5","","0.0","","0.0","","2.2","","1.4","","26","","34","","33",""
"2015-01-05","2015","01","05","","-17.3","","-32.2","","-24.8","","42.8","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"2015-01-06","2015","01","06","","-24.4","","-33.7","","-29.1","","47.1","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"2015-01-07","2015","01","07","","-19.7","","-27.7","","-23.7","","41.7","","0.0","","0.0","","0.4","","0.2","","28","","32","","48",""
"2015-01-08","2015","01","08","","-21.4","","-28.0","","-24.7","","42.7","","0.0","","0.0","","0.0","","0.0","","28","","32","","50",""
"2015-01-09","2015","01","09","","-22.1","","-31.3","","-26.7","","44.7","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"2015-01-10","2015","01","10","","-28.0","","-33.1","","-30.6","","48.6","","0.0","","0.0","","0.0","T","0.0","T","27","","","","<31",""
"2015-01-11","2015","01","11","","-21.2","","-31.8","","-26.5","","44.5","","0.0","","0.0","","0.0","T","0.0","T","27","","17","","32",""
"2015-01-12","2015","01","12","","-20.2","","-28.5","","-24.4","","42.4","","0.0","","0.0","","1.8","","1.2","","27","","","","<31",""
