Date/Time,Year,Month,Day,Data Quality,Max Temp (хЁC),Max Temp Flag,Min Temp (хЁC),Min Temp Flag,Mean Temp (хЁC),Mean Temp Flag,Heat Deg Days (хЁC),Heat Deg Days Flag,Cool Deg Days (хЁC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2015-01-01,2015,1,1,хр,1.1,,-6.1,,-2.5,,20.5,,0,,0,,0,T,0,T,3,,,,<31,
2015-01-02,2015,1,2,хр,-3.4,,-18.2,,-10.8,,28.8,,0,,0,,5,,4.2,,3,,1,,52,
2015-01-03,2015,1,3,хр,-18.1,,-21.1,,-19.6,,37.6,,0,,0,,1.6,,0.6,,7,,,,<31,
2015-01-04,2015,1,4,хр,-18.4,,-25.3,,-21.9,,39.9,,0,,0,,2,,1.8,,9,,17,,35,
2015-01-05,2015,1,5,хр,-13.2,,-20.1,,-16.7,,34.7,,0,,0,,0,T,0,T,11,,35,,44,
2015-01-06,2015,1,6,хр,-13.5,,-15.6,,-14.6,,32.6,,0,,0.6,,11.2,,11.4,,18,,,,<31,
2015-01-07,2015,1,7,хр,8.1,,-15.2,,-3.6,,21.6,,0,,0,,0.2,,0.2,,22,,36,,52,
2015-01-08,2015,1,8,хр,-2.2,,-19.4,,-10.8,,28.8,,0,,0,,0.8,,0.8,,17,,35,,67,
2015-01-09,2015,1,9,хр,-1.8,,-23.8,,-12.8,,30.8,,0,,0,,0,,0,,17,,,,<31,
2015-01-10,2015,1,10,хр,-1.5,,-12.2,,-6.9,,24.9,,0,,0,,5.8,,5.8,,15,,,,<31,
2015-01-11,2015,1,11,хр,-6.5,,-19.2,,-12.9,,30.9,,0,,0,,1.6,,1.6,,22,,,,<31,
2015-01-12,2015,1,12,хр,-2.4,,-20.8,,-11.6,,29.6,,0,,0,,0,T,0,T,22,,,,<31,
2015-01-13,2015,1,13,хр,3.8,,-9.9,,-3.1,,21.1,,0,,0,,0,,0,,22,,,,<31,
2015-01-14,2015,1,14,хр,9.8,,-0.5,,4.7,,13.3,,0,,0,,0,,0,,21,,29,,52,
2015-01-15,2015,1,15,хр,9.2,,-1.7,,3.8,,14.2,,0,,0,,0,,0,,10,,27,,63,
2015-01-16,2015,1,16,хр,6.7,,2.2,,4.5,,13.5,,0,,0,,0,,0,,6,,27,,52,
2015-01-17,2015,1,17,хр,7.6,,-0.4,,3.6,,14.4,,0,,0,,0,,0,,3,,27,,63,
2015-01-18,2015,1,18,хр,6.9,,-4.8,,1.1,,16.9,,0,,0.2,,1.4,,1.4,,2,,28,,56,
2015-01-19,2015,1,19,хр,5.9,,1.6,,3.8,,14.2,,0,,0,,0,,0,,2,,27,,46,
2015-01-20,2015,1,20,хр,3.6,,-4.1,,-0.3,,18.3,,0,,0,,0,,0,,7,,29,,43,
2015-01-21,2015,1,21,хр,8.9,,-9.2,,-0.2,,18.2,,0,,0,,0,,0,,7,,27,,59,
2015-01-22,2015,1,22,хр,9.6,,6.1,,7.9,,10.1,,0,,0,,0,,0,,2,,27,,69,
2015-01-23,2015,1,23,хр,11.8,,2.7,,7.3,,10.7,,0,,0,,0,,0,,1,,28,,65,
2015-01-24,2015,1,24,хр,11,,2.1,,6.6,,11.4,,0,,0,T,0,,0,T,0,,29,,63,
2015-01-25,2015,1,25,хр,17.2,,0.6,,8.9,,9.1,,0,,0,,0,,0,,0,,28,,37,
2015-01-26,2015,1,26,хр,12.3,,1,,6.7,,11.3,,0,,0,,0,,0,,0,,,,<31,
2015-01-27,2015,1,27,хр,14.4,,-0.7,,6.9,,11.1,,0,,0,,0,,0,,0,,2,,35,
2015-01-28,2015,1,28,хр,5.6,,-2.3,,1.7,,16.3,,0,,0,,0,,0,,0,,34,,35,
2015-01-29,2015,1,29,хр,7.8,,-5.4,,1.2,,16.8,,0,,0,,0,,0,,0,,,,<31,
2015-01-30,2015,1,30,хр,4,,-6.4,,-1.2,,19.2,,0,,0,,0,T,0,T,0,,4,,37,
2015-01-31,2015,1,31,хр,-5.5,,-17.3,,-11.4,,29.4,,0,,0,,5,,5,,3,,4,,41,
2015-02-01,2015,2,1,хр,-6.5,,-17.8,,-12.2,,30.2,,0,,0,,0,,0,,4,,2,,39,
2015-02-02,2015,2,2,хр,-12.7,,-15.3,,-14,,32,,0,,0,,1.6,,1.6,,5,,,,<31,
2015-02-03,2015,2,3,хр,-11.3,,-19.8,,-15.6,,33.6,,0,,0,,0.3,,0.3,,5,,,,<31,
2015-02-04,2015,2,4,хр,5.5,,-16.8,,-5.7,,23.7,,0,,0,,0,,0,,6,,27,,39,
2015-02-05,2015,2,5,хр,0.3,,-14.5,,-7.1,,25.1,,0,,0,,1.8,,0.8,,4,,9,,33,
2015-02-06,2015,2,6,хр,-12.1,,-15.1,,-13.6,,31.6,,0,,0,,1.4,,0.5,,6,,,,<31,
2015-02-07,2015,2,7,хр,9.6,,-15.3,,-2.9,,20.9,,0,,0,,0,T,0,T,7,,28,,33,
2015-02-08,2015,2,8,хр,4.1,,-15.1,,-5.5,,23.5,,0,,0,T,0,,0,T,6,,35,,35,
2015-02-09,2015,2,9,хр,-10.5,,-15.4,,-13,,31,,0,,0,,0,T,0,T,6,,35,,32,
2015-02-10,2015,2,10,хр,-6.9,,-12.7,,-9.8,,27.8,,0,,0,,0.4,,0.4,,6,,,,<31,
2015-02-11,2015,2,11,хр,-7.1,,-11.1,,-9.1,,27.1,,0,,0,,0.4,,0.2,,6,,19,,43,
2015-02-12,2015,2,12,хр,12.7,,-7.1,,2.8,,15.2,,0,,0,,0,,0,,6,,28,,46,
2015-02-13,2015,2,13,хр,14.9,,-0.1,,7.4,,10.6,,0,,0,,0,,0,,1,,29,,43,
2015-02-14,2015,2,14,хр,7.4,,-2.2,,2.6,,15.4,,0,,0,,0.8,,0.8,,0,,34,,67,
2015-02-15,2015,2,15,хр,5.2,,-2.3,,1.5,,16.5,,0,,0,,0,,0,,0,,2,,33,
