Date/Time,Year,Month,Day,Data Quality,Max Temp (хЁC),Max Temp Flag,Min Temp (хЁC),Min Temp Flag,Mean Temp (хЁC),Mean Temp Flag,Heat Deg Days (хЁC),Heat Deg Days Flag,Cool Deg Days (хЁC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2016-01-01,2016,1,1,хр,1.2,,-12,,-5.4,,23.4,,0,,0,,0,,0,,11,,,,<31,
2016-01-02,2016,1,2,хр,-1.6,,-16.8,,-9.2,,27.2,,0,,0,,0,,0,,11,,,,<31,
2016-01-03,2016,1,3,хр,-2.7,,-16.3,,-9.5,,27.5,,0,,0,,0,,0,,11,,,,<31,
2016-01-04,2016,1,4,хр,-2,,-12.9,,-7.5,,25.5,,0,,0,,0,,0,,10,,,,<31,
2016-01-05,2016,1,5,хр,-7.1,,-13.8,,-10.5,,28.5,,0,,0,,0,,0,,10,,,,<31,
2016-01-06,2016,1,6,хр,-8.6,,-16.6,,-12.6,,30.6,,0,,0,,0,T,0,T,10,,34,,35,
2016-01-07,2016,1,7,хр,-9.5,,-15.6,,-12.6,,30.6,,0,,0,,4.8,,3.2,,11,,35,,37,
2016-01-08,2016,1,8,хр,-13.1,,-22.3,,-17.7,,35.7,,0,,0,,0,T,0,T,13,,,,<31,
2016-01-09,2016,1,9,хр,-5,,-25.5,,-15.3,,33.3,,0,,0,,0,T,0,T,13,,,,<31,
2016-01-10,2016,1,10,хр,-1,,-16.2,,-8.6,,26.6,,0,,0,,0,,0,,13,,,,<31,
2016-01-11,2016,1,11,хр,-2.1,,-10,,-6.1,,24.1,,0,,0,,0,,0,,13,,,,<31,
2016-01-12,2016,1,12,хр,6.3,,-9.9,,-1.8,,19.8,,0,,0,,0,,0,,13,,28,,56,
2016-01-13,2016,1,13,хр,8.7,,-4.7,,2,,16,,0,,0,,0,,0,,12,,29,,48,
2016-01-14,2016,1,14,хр,1.1,,-3.8,,-1.4,,19.4,,0,,0,,0.4,,0.4,,11,,34,,37,
2016-01-15,2016,1,15,хр,-3.7,,-12.7,,-8.2,,26.2,,0,,0,,2.3,,1.7,,11,,5,,35,
2016-01-16,2016,1,16,хр,-12.7,,-17.5,,-15.1,,33.1,,0,,0.2,,1,,1,,11,,,,<31,
2016-01-17,2016,1,17,хр,-12.3,,-17.9,,-15.1,,33.1,,0,,0,,0.4,,0.2,,11,,,,<31,
2016-01-18,2016,1,18,хр,5,,-12.3,,-3.7,,21.7,,0,,0,,0,T,0,T,11,,1,,39,
2016-01-19,2016,1,19,хр,5.3,,-9.8,,-2.3,,20.3,,0,,0,,0,,0,,10,,,,<31,
2016-01-20,2016,1,20,хр,-6.1,,-11.2,,-8.7,,26.7,,0,,0,,0.2,,0.2,,9,,,,<31,
2016-01-21,2016,1,21,хр,3,,-12.5,,-4.8,,22.8,,0,,0,,0,,0,,9,,,,<31,
2016-01-22,2016,1,22,хр,9.4,,-4.8,,2.3,,15.7,,0,,0,,0,,0,,9,,27,,41,
2016-01-23,2016,1,23,хр,5.7,,-4.9,,0.4,,17.6,,0,,0,,0,T,0.2,,8,,36,,43,
2016-01-24,2016,1,24,хр,-0.2,,-10.5,,-5.4,,23.4,,0,,0,,6.2,,5.2,,10,,34,,37,
2016-01-25,2016,1,25,хр,1.8,,-13.5,,-5.9,,23.9,,0,,0,,0,,0,,13,,,,<31,
2016-01-26,2016,1,26,хр,10.4,,-7.5,,1.5,,16.5,,0,,0,,0,,0,,10,,28,,61,
2016-01-27,2016,1,27,хр,11,,0.7,,5.9,,12.1,,0,,0,,0,,0,,7,,28,,63,
2016-01-28,2016,1,28,хр,12.8,,0.4,,6.6,,11.4,,0,,0,,0,,0,,4,,27,,43,
2016-01-29,2016,1,29,хр,5.8,,-1.1,,2.4,,15.6,,0,,0,,0,,0,,3,,27,,46,
2016-01-30,2016,1,30,хр,2.9,,-1.7,,0.6,,17.4,,0,,0,,0,,0,,2,,30,,41,
2016-01-31,2016,1,31,хр,2.2,,-2.7,,-0.3,,18.3,,0,,0,,0,T,0,T,1,,,,<31,
2016-02-01,2016,2,1,хр,-0.1,,-5.8,,-3,,21,,0,,0,,0,T,0,T,1,,,,<31,
2016-02-02,2016,2,2,хр,-1.6,,-9.8,,-5.7,,23.7,,0,,0,,0,,0,,1,,,,<31,
2016-02-03,2016,2,3,хр,-0.6,,-10.9,,-5.8,,23.8,,0,,0,,0,,0,,1,,,,<31,
2016-02-04,2016,2,4,хр,5.8,,-5.1,,0.4,,17.6,,0,,0,,0,,0,,1,,30,,50,
2016-02-05,2016,2,5,хр,10,,1.7,,5.9,,12.1,,0,,0,,0,,0,,1,,28,,52,
2016-02-06,2016,2,6,хр,7.3,,-0.6,,3.4,,14.6,,0,,0,,0,,0,,1,,27,,72,
2016-02-07,2016,2,7,хр,5.2,,-3.7,,0.8,,17.2,,0,,0,,0,,0,,1,,28,,46,
2016-02-08,2016,2,8,хр,13.9,,-5.8,,4.1,,13.9,,0,,0,,0,,0,,1,,28,,48,
2016-02-09,2016,2,9,хр,16.4,,0.3,,8.4,,9.6,,0,,0,,0,,0,,0,,26,,33,
2016-02-10,2016,2,10,хр,5.9,,-2.2,,1.9,,16.1,,0,,0,,0,,0,,0,,,,<31,
2016-02-11,2016,2,11,хр,7.6,,-3.1,,2.3,,15.7,,0,,0,,0,,0,,0,,,,<31,
2016-02-12,2016,2,12,хр,1.9,,-4.3,,-1.2,,19.2,,0,,0,,0,,0,,0,,15,,33,
2016-02-13,2016,2,13,хр,7.8,,-4.9,,1.5,,16.5,,0,,0,,0,,0,,0,,28,,50,
2016-02-14,2016,2,14,хр,9.4,,-1.5,,4,,14,,0,,0,,0,,0,,0,,27,,52,
2016-02-15,2016,2,15,хр,8.8,,-2.6,,3.1,,14.9,,0,,0,,0,,0,,0,,34,,50,
2016-02-16,2016,2,16,хр,10.5,,-5.2,,2.7,,15.3,,0,,0,,0,,0,,0,,30,,33,
2016-02-17,2016,2,17,хр,6.1,,-2.6,,1.8,,16.2,,0,,0,,0,,0,,0,,,,<31,
2016-02-18,2016,2,18,хр,9.7,,-3,,3.4,,14.6,,0,,0,,0,,0,,,,28,,63,
2016-02-19,2016,2,19,хр,6.7,,-0.2,,3.3,,14.7,,0,,0.2,,0,,0.2,,0,,32,,59,
2016-02-20,2016,2,20,хр,3.8,,-7.5,,-1.9,,19.9,,0,,0,,0,,0,,0,,36,,37,
2016-02-21,2016,2,21,хр,5.7,,-3.4,,1.2,,16.8,,0,,0,,0,,0,,0,,30,,33,
2016-02-22,2016,2,22,хр,6.6,,-6.8,,-0.1,,18.1,,0,,0,,0,,0,,0,,29,,35,
2016-02-23,2016,2,23,хр,4.7,,-4.2,,0.3,,17.7,,0,,0,,0,,0,,0,,4,,48,
2016-02-24,2016,2,24,хр,4.1,,-10.5,,-3.2,,21.2,,0,,0,,0,,0,,0,,16,,39,
2016-02-25,2016,2,25,хр,12.1,,-5.8,,3.2,,14.8,,0,,0,,0,,0,,,,,,<31,
2016-02-26,2016,2,26,хр,16.9,,0,,8.5,,9.5,,0,,0,,0,,0,,,,27,,52,
2016-02-27,2016,2,27,хр,12.2,,-0.7,,5.8,,12.2,,0,,0.4,,0,,0.4,,,,26,,54,
2016-02-28,2016,2,28,хр,6.7,,-5.4,,0.7,,17.3,,0,,0,,0,T,0,T,0,,11,,43,
2016-02-29,2016,2,29,хр,2.7,,-11.3,,-4.3,,22.3,,0,,0,,1.8,,1.6,,0,,11,,39,
2016-03-01,2016,3,1,хр,5.9,,-7.1,,-0.6,,18.6,,0,,0,,0,,0,,0,,18,,37,
2016-03-02,2016,3,2,хр,1.7,,-4.2,,-1.3,,19.3,,0,,0.5,,0,,0.5,,0,,18,,39,
2016-03-03,2016,3,3,хр,12.5,,-4,,4.3,,13.7,,0,,0,T,0,,0,T,,,29,,63,
2016-03-04,2016,3,4,хр,13.1,,-5.8,,3.7,,14.3,,0,,0,,0,,0,,,,,,<31,
2016-03-05,2016,3,5,хр,17,,-3.3,,6.9,,11.1,,0,,0,,0,,0,,,,29,,65,
2016-03-06,2016,3,6,хр,9,,-1.9,,3.6,,14.4,,0,,0,T,0,,0,T,,,28,,35,
2016-03-07,2016,3,7,хр,11.9,,-3.3,,4.3,,13.7,,0,,0,,0,,0,,,,29,,39,
2016-03-08,2016,3,8,хр,9.3,,-3.7,,2.8,,15.2,,0,,0,,0,,0,,,,27,,39,
2016-03-09,2016,3,9,хр,9.9,,-6.8,,1.6,,16.4,,0,,0,,0,,0,,,,29,,33,
2016-03-10,2016,3,10,хр,15.7,,-2.4,,6.7,,11.3,,0,,0,,0,,0,,,,22,,91,
2016-03-11,2016,3,11,хр,12.7,,-0.1,,6.3,,11.7,,0,,0,,0,,0,,,,15,,43,
2016-03-12,2016,3,12,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-13,2016,3,13,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-14,2016,3,14,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-15,2016,3,15,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-16,2016,3,16,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-17,2016,3,17,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-18,2016,3,18,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-19,2016,3,19,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-20,2016,3,20,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-21,2016,3,21,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-22,2016,3,22,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-23,2016,3,23,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-24,2016,3,24,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-25,2016,3,25,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-26,2016,3,26,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-27,2016,3,27,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-28,2016,3,28,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-29,2016,3,29,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-30,2016,3,30,хр,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,2016,3,31,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,2016,4,1,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-02,2016,4,2,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-03,2016,4,3,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-04,2016,4,4,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-05,2016,4,5,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-06,2016,4,6,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-07,2016,4,7,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-08,2016,4,8,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-09,2016,4,9,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-10,2016,4,10,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-11,2016,4,11,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-12,2016,4,12,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-13,2016,4,13,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-14,2016,4,14,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-15,2016,4,15,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-16,2016,4,16,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-17,2016,4,17,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-18,2016,4,18,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-19,2016,4,19,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-20,2016,4,20,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-21,2016,4,21,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-22,2016,4,22,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-23,2016,4,23,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-24,2016,4,24,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-25,2016,4,25,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-26,2016,4,26,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-27,2016,4,27,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-28,2016,4,28,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-29,2016,4,29,хр,,,,,,,,,,,,,,,,,,,,,,
2016-04-30,2016,4,30,хр,,,,,,,,,,,,,,,,,,,,,,
2016-05-01,2016,5,1,хр,,,,,,,,,,,,,,,,,,,,,,
2016-05-02,2016,5,2,хр,,,,,,,,,,,,,,,,,,,,,,
