Date/Time,Year,Month,Day,Data Quality,Max Temp (хбC),Max Temp Flag,Min Temp (хбC),Min Temp Flag,Mean Temp (хбC),Mean Temp Flag,Heat Deg Days (хбC),Heat Deg Days Flag,Cool Deg Days (хбC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2015-01-01,2015,1,1,ха,3.2,,-10.9,,-3.9,,21.9,,0,,,M,,M,,M,,,,M,,M
2015-01-02,2015,1,2,ха,-10.9,,-23.4,,-17.2,,35.2,,0,,,M,,M,,M,,,,M,,M
2015-01-03,2015,1,3,ха,-20,,-29,,-24.5,,42.5,,0,,,M,,M,,M,,,,M,,M
2015-01-04,2015,1,4,ха,-22.1,,-30.2,,-26.2,,44.2,,0,,,M,,M,,M,,,,M,,M
2015-01-05,2015,1,5,ха,-17.5,,-26.3,,-21.9,,39.9,,0,,,M,,M,,M,,,,M,,M
2015-01-06,2015,1,6,ха,-16.5,,-20.5,,-18.5,,36.5,,0,,,M,,M,,M,,,,M,,M
2015-01-07,2015,1,7,ха,-7.8,,-19,,-13.4,,31.4,,0,,,M,,M,,M,,,,M,,M
2015-01-08,2015,1,8,ха,-13,,-22.5,,-17.8,,35.8,,0,,,M,,M,,M,,,,M,,M
2015-01-09,2015,1,9,ха,-17,,-26.1,,-21.6,,39.6,,0,,,M,,M,,M,,,,M,,M
2015-01-10,2015,1,10,ха,-13.9,,-18.5,,-16.2,,34.2,,0,,,M,,M,,M,,,,M,,M
2015-01-11,2015,1,11,ха,-10.1,,-23.6,,-16.9,,34.9,,0,,,M,,M,,M,,,,M,,M
2015-01-12,2015,1,12,ха,-5.9,,-18.9,,-12.4,,30.4,,0,,,M,,M,,M,,,,M,,M
2015-01-13,2015,1,13,ха,3.9,,-10.4,,-3.3,,21.3,,0,,,M,,M,,M,,,,M,,M
2015-01-14,2015,1,14,ха,5.4,,-2.4,,1.5,,16.5,,0,,,M,,M,,M,,,,M,,M
2015-01-15,2015,1,15,ха,-1.8,,-7.6,,-4.7,,22.7,,0,,,M,,M,,M,,,,M,,M
2015-01-16,2015,1,16,ха,4.6,,-6.5,,-1,,19,,0,,,M,,M,,M,,,,M,,M
2015-01-17,2015,1,17,ха,4.1,,-5.6,,-0.8,,18.8,,0,,,M,,M,,M,,,,M,,M
2015-01-18,2015,1,18,ха,0.7,,-8.7,,-4,,22,,0,,,M,,M,,M,,,,M,,M
2015-01-19,2015,1,19,ха,4.6,,-3.3,,0.7,,17.3,,0,,,M,,M,,M,,,,M,,M
