Date/Time,Year,Month,Day,Data Quality,Max Temp (å¡C),Max Temp Flag,Min Temp (å¡C),Min Temp Flag,Mean Temp (å¡C),Mean Temp Flag,Heat Deg Days (å¡C),Heat Deg Days Flag,Cool Deg Days (å¡C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2004-01-01,2004,1,1,,-13.3,,-18.8,,-16.1,,34.1,,0,,0,,5,,3.4,,14,,,,,
2004-01-02,2004,1,2,,-18.7,,-26.9,,-22.8,,40.8,,0,,0,,1,,0.4,,13,,,,,
2004-01-03,2004,1,3,,-19.8,,-29.2,,-24.5,,42.5,,0,,0,,0.2,,0,T,13,,,,,
2004-01-04,2004,1,4,,-18.9,,-25.7,,-22.3,,40.3,,0,,0,,0,T,0,T,12,,,,,
2004-01-05,2004,1,5,,-12.2,,-18.9,,-15.6,,33.6,,0,,0,,0.2,,0.2,,12,,,,,
2004-01-06,2004,1,6,,-10.8,,-16.8,,-13.8,,31.8,,0,,0,,0,,0,,11,,,,,
2004-01-07,2004,1,7,,-12.4,,-19.2,,-15.8,,33.8,,0,,0,,0,,0,,11,,,,,
2004-01-08,2004,1,8,,-11,,-14.1,,-12.6,,30.6,,0,,0,,0,,0,,11,,,,,
2004-01-09,2004,1,9,,-4,,-14.8,,-9.4,,27.4,,0,,0,,0,,0,,11,,,,,
2004-01-10,2004,1,10,,-3.1,,-13.1,,-8.1,,26.1,,0,,3,,0,,3,,11,,,,,
2004-01-11,2004,1,11,,0.8,,-8,,-3.6,,21.6,,0,,0,,0,,0,,11,,,,,
2004-01-12,2004,1,12,,-2.8,,-11.9,,-7.4,,25.4,,0,,0,,0,,0,,11,,,,,
2004-01-13,2004,1,13,,4.1,,-5.5,,-0.7,,18.7,,0,,0.8,,0,,0.8,,11,,,,,
2004-01-14,2004,1,14,,1.2,,-5.2,,-2,,20,,0,,0,,0,,0,,11,,,,,
2004-01-15,2004,1,15,,6.7,,-2.3,,2.2,,15.8,,0,,0,,0,,0,,11,,,,,
2004-01-16,2004,1,16,,2,,-11.3,,-4.7,,22.7,,0,,0,,0,,0,,10,,,,,
2004-01-17,2004,1,17,,-7.9,,-13.7,,-10.8,,28.8,,0,,0,,0,T,0,T,11,,,,,
2004-01-18,2004,1,18,,-4,,-8.9,,-6.5,,24.5,,0,,0,,0,,0,,11,,,,,
2004-01-19,2004,1,19,,5.3,,-7.6,,-1.2,,19.2,,0,,0,,0,,0,,11,,,,,
2004-01-20,2004,1,20,,1.5,,-13.3,,-5.9,,23.9,,0,,0,,0,T,0,T,11,,,,,
2004-01-21,2004,1,21,,-2.5,,-15.7,,-9.1,,27.1,,0,,0.6,,4,,3,,11,,,,,
2004-01-22,2004,1,22,,0.5,,-6.5,,-3,,21,,0,,0.4,,0.6,,1,,10,,,,,
2004-01-23,2004,1,23,,-6.5,,-15.6,,-11.1,,29.1,,0,,0,,4.4,,3,,11,,,,,
2004-01-24,2004,1,24,,-15.4,,-19.5,,-17.5,,35.5,,0,,0,,5.6,,4.2,,15,,,,,
2004-01-25,2004,1,25,,-19.4,,-28,,-23.7,,41.7,,0,,0,,2.8,,1.6,,18,,,,,
2004-01-26,2004,1,26,,-28,,-34.2,,-31.1,,49.1,,0,,0,,0.6,,0.2,,20,,,,,
2004-01-27,2004,1,27,,-30.6,,-35.5,,-33.1,,51.1,,0,,0,,0,T,0,T,15,,,,,
2004-01-28,2004,1,28,,-27.5,,-33.1,,-30.3,,48.3,,0,,0,,3.2,,2.4,,16,,,,,
2004-01-29,2004,1,29,,-24,,-29.3,,-26.7,,44.7,,0,,0,,1.6,,0.8,,16,,,,,
2004-01-30,2004,1,30,,-22.5,,-24.5,,-23.5,,41.5,,0,,0,,8.4,,6.8,,16,,,,,
2004-01-31,2004,1,31,,-21.7,,-23.4,,-22.6,,40.6,,0,,0,,4.6,,3.4,,21,,,,,
2004-02-01,2004,2,1,,-17,,-23.7,,-20.4,,38.4,,0,,0,,0.2,E,0.2,E,25,,,,,
2004-02-02,2004,2,2,,-13.2,,-26.8,,-20,,38,,0,,0,,0,,0,,24,,,,,
2004-02-03,2004,2,3,,-9.8,,-21.5,,-15.7,,33.7,,0,,0,,0,,0,,22,,,,,
2004-02-04,2004,2,4,,-6.3,,-15.6,,-11,,29,,0,,0,,0,,0,,22,,,,,
2004-02-05,2004,2,5,,-5.3,,-18.9,,-12.1,,30.1,,0,,0,,0,,0,,21,,,,,
2004-02-06,2004,2,6,,-3.8,,-11.8,,-7.8,,25.8,,0,,0,,0,,0,,21,,,,,
