Date/Time,Year,Month,Day,Data Quality,Max Temp (хЁC),Max Temp Flag,Min Temp (хЁC),Min Temp Flag,Mean Temp (хЁC),Mean Temp Flag,Heat Deg Days (хЁC),Heat Deg Days Flag,Cool Deg Days (хЁC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2012-01-01,2012,1,1,хр,0.7,,-2.3,,-0.8,,18.8,,0,,,M,,M,0,,,,,,<31,
2012-01-02,2012,1,2,хр,9.9,,-5,,2.5,,15.5,,0,,,M,,M,2.3,,,,,,<31,
2012-01-03,2012,1,3,хр,-2.8,,-14.8,,-8.8,,26.8,,0,,,M,,M,0,,,,,,<31,
2012-01-04,2012,1,4,хр,-9,,-15.3,,-12.2,,30.2,,0,,,M,,M,0,,,,,,<31,
2012-01-05,2012,1,5,хр,-2.7,,-9.9,,-6.3,,24.3,,0,,,M,,M,,M,,,,,<31,
2012-01-06,2012,1,6,хр,-8.1,,-14.9,,-11.5,,29.5,,0,,,M,,M,1,,,,,,<31,
2012-01-07,2012,1,7,хр,-3.2,,-8.7,,-6,,24,,0,,,M,,M,0.3,,,,,,<31,
2012-01-08,2012,1,8,хр,-0.9,,-7.8,,-4.4,,22.4,,0,,,M,,M,0,,,,,,<31,
2012-01-09,2012,1,9,хр,-5.1,,-12,,-8.6,,26.6,,0,,,M,,M,0,,,,,,<31,
2012-01-10,2012,1,10,хр,2.2,,-12.9,,-5.4,,23.4,,0,,,M,,M,0,,,,,,<31,
2012-01-11,2012,1,11,хр,-9.1,,-16,,-12.6,,30.6,,0,,,M,,M,0,,,,,,<31,
2012-01-12,2012,1,12,хр,-4.2,,-13.7,,-9,,27,,0,,,M,,M,3.3,,,,,,<31,
2012-01-13,2012,1,13,хр,4,,-4.2,,-0.1,,18.1,,0,,,M,,M,5.1,,,,,,<31,
2012-01-14,2012,1,14,хр,-0.3,,-17.1,,-8.7,,26.7,,0,,,M,,M,0,,,,,,<31,
2012-01-15,2012,1,15,хр,-13.9,,-23.2,,-18.6,,36.6,,0,,,M,,M,0,,,,,,<31,
2012-01-16,2012,1,16,хр,-7,,-21.3,,-14.2,,32.2,,0,,,M,,M,0,,,,,,<31,
2012-01-17,2012,1,17,хр,0.4,,-9.9,,-4.8,,22.8,,0,,,M,,M,3.3,,,,,,<31,
2012-01-18,2012,1,18,хр,3.5,,-12.9,,-4.7,,22.7,,0,,,M,,M,0.3,,,,,,<31,
2012-01-19,2012,1,19,хр,-9.6,,-19.5,,-14.6,,32.6,,0,,,M,,M,0,,,,,,<31,
2012-01-20,2012,1,20,хр,-1.8,,-15.8,,-8.8,,26.8,,0,,,M,,M,0,,,,,,<31,
2012-01-21,2012,1,21,хр,-11.6,,-21.2,,-16.4,,34.4,,0,,,M,,M,0,,,,,,<31,
2012-01-22,2012,1,22,хр,-7.9,,-25.5,,-16.7,,34.7,,0,,,M,,M,0,,,,,,<31,
2012-01-23,2012,1,23,хр,3.6,,-16.7,,-6.6,,24.6,,0,,,M,,M,0.3,,,,,,<31,
2012-01-24,2012,1,24,хр,9.2,,1.5,,5.4,,12.6,,0,,,M,,M,4.9,,,,,,<31,
2012-01-25,2012,1,25,хр,3.3,,-4.4,,-0.6,,18.6,,0,,,M,,M,0,,,,,,<31,
2012-01-26,2012,1,26,хр,-3.7,,-9.2,,-6.5,,24.5,,0,,,M,,M,0,,,,,,<31,
2012-01-27,2012,1,27,хр,-1.1,,-8.4,,-4.8,,22.8,,0,,,M,,M,11.3,,,,,,<31,
2012-01-28,2012,1,28,хр,-0.8,,-10.5,,-5.7,,23.7,,0,,,M,,M,0.5,,,,,,<31,
2012-01-29,2012,1,29,хр,2.4,,-8.3,,-3,,21,,0,,,M,,M,0.8,,,,,,<31,
2012-01-30,2012,1,30,хр,0.2,,-14.6,,-7.2,,25.2,,0,,,M,,M,0,,,,,,<31,
2012-01-31,2012,1,31,хр,-6.5,,-20.5,,-13.5,,31.5,,0,,,M,,M,0,,,,,,<31,
2012-02-01,2012,2,1,хр,-5.8,,-10,,-7.9,,25.9,,0,,,M,,M,7.4,,,,,,<31,
