Date/Time,Year,Month,Day,Data Quality,Max Temp (хбC),Max Temp Flag,Min Temp (хбC),Min Temp Flag,Mean Temp (хбC),Mean Temp Flag,Heat Deg Days (хбC),Heat Deg Days Flag,Cool Deg Days (хбC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2016-01-01,2016,1,1,ха,-22.4,,-28.6,,-25.5,,43.5,,0,,,M,,M,0,,14,,,,<31,
2016-01-02,2016,1,2,ха,-22,,-32.9,,-27.5,,45.5,,0,,,M,,M,0,,13,,,,<31,
2016-01-03,2016,1,3,ха,-24.1,,-32.7,,-28.4,,46.4,,0,,,M,,M,0,,12,,35,,41,
2016-01-04,2016,1,4,ха,-25.3,,-31.4,,-28.4,,46.4,,0,,,M,,M,0,,15,,35,,44,
2016-01-05,2016,1,5,ха,-27.5,,-33.1,,-30.3,,48.3,,0,,,M,,M,0,,14,,32,,33,
2016-01-06,2016,1,6,ха,-28,,-33.5,,-30.8,,48.8,,0,,,M,,M,0,,14,,,,<31,
2016-01-07,2016,1,7,ха,-25.7,,-31.9,,-28.8,,46.8,,0,,,M,,M,0,,14,,34,,44,
2016-01-08,2016,1,8,ха,-22.6,,-29,,-25.8,,43.8,,0,,,M,,M,0,,14,,33,,43,
2016-01-09,2016,1,9,ха,-26.7,,-32.5,,-29.6,,47.6,,0,,,M,,M,0,,14,,,,<31,
2016-01-10,2016,1,10,ха,-9.9,,-27.1,,-18.5,,36.5,,0,,,M,,M,1.4,,14,,13,,39,
2016-01-11,2016,1,11,ха,-1.8,,-10.1,,-6,,24,,0,,,M,,M,1.8,,21,,14,,65,
2016-01-12,2016,1,12,ха,1.1,,-3.4,,-1.2,,19.2,,0,,,M,,M,2.5,,25,,10,,69,
2016-01-13,2016,1,13,ха,-3.4,,-24.5,,-14,,32,,0,,,M,,M,0,,16,,15,,65,
2016-01-14,2016,1,14,ха,,M,-25,E,,M,,M,,M,,M,,M,,M,13,,,,<31,
2016-01-15,2016,1,15,ха,,M,-21.5,E,,M,,M,,M,,M,,M,,M,13,,11,,56,
2016-01-16,2016,1,16,ха,-4,,-12.5,,-8.3,,26.3,,0,,,M,,M,1.6,,13,,,,<31,
2016-01-17,2016,1,17,ха,-3.2,,-15.5,,-9.4,,27.4,,0,,,M,,M,0,,17,,32,,35,
2016-01-18,2016,1,18,ха,-12.6,,-16.3,,-14.5,,32.5,,0,,,M,,M,0,,14,,35,,61,
2016-01-19,2016,1,19,ха,-15.7,,-18.5,,-17.1,,35.1,,0,,,M,,M,0,,13,,34,,61,
2016-01-20,2016,1,20,ха,-18.3,,-22.6,,-20.5,,38.5,,0,,,M,,M,0,,16,,33,,57,
