Date/Time,Year,Month,Day,Data Quality,Max Temp (хЁC),Max Temp Flag,Min Temp (хЁC),Min Temp Flag,Mean Temp (хЁC),Mean Temp Flag,Heat Deg Days (хЁC),Heat Deg Days Flag,Cool Deg Days (хЁC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2013-01-01,2013,1,1,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-02,2013,1,2,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-03,2013,1,3,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-04,2013,1,4,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-05,2013,1,5,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,2013,1,6,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,2013,1,7,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-08,2013,1,8,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-09,2013,1,9,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-10,2013,1,10,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-11,2013,1,11,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-12,2013,1,12,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-13,2013,1,13,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-14,2013,1,14,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-15,2013,1,15,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-16,2013,1,16,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-17,2013,1,17,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-18,2013,1,18,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-19,2013,1,19,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-20,2013,1,20,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-21,2013,1,21,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-22,2013,1,22,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-23,2013,1,23,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-24,2013,1,24,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-25,2013,1,25,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-26,2013,1,26,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-27,2013,1,27,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-28,2013,1,28,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-29,2013,1,29,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-30,2013,1,30,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,2013,1,31,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-01,2013,2,1,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-02,2013,2,2,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-03,2013,2,3,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-04,2013,2,4,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-05,2013,2,5,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-06,2013,2,6,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-07,2013,2,7,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-08,2013,2,8,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-09,2013,2,9,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-10,2013,2,10,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-11,2013,2,11,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-12,2013,2,12,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-13,2013,2,13,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-14,2013,2,14,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-15,2013,2,15,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-16,2013,2,16,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-17,2013,2,17,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-18,2013,2,18,хр,-8.1,,-16.1,,-12.1,,30.1,,0,,0,,0,,0,,1,,26,,56,
2013-02-19,2013,2,19,хр,-0.1,,-11.5,,-5.8,,23.8,,0,,0.2,,6,,6.2,,1,,23,,50,
2013-02-20,2013,2,20,хр,-1,,-11.4,,-6.2,,24.2,,0,,0,,5,,5,,7,,24,,70,
2013-02-21,2013,2,21,хр,-5.9,,-13.4,,-9.7,,27.7,,0,,0,,2,,2,,4,,23,,56,
2013-02-22,2013,2,22,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-23,2013,2,23,хр,1.3,,-3.3,,-1,,19,,0,,0,,7.8,,7.8,,1,,14,,32,
2013-02-24,2013,2,24,хр,1.1,,0.1,,0.6,,17.4,,0,,0,,1.2,,1.2,,4,,,,<31,
2013-02-25,2013,2,25,хр,1.6,,-1.3,,0.2,,17.8,,0,,0,,0.2,,0.2,,3,,,,<31,
2013-02-26,2013,2,26,хр,3.3,,-1.3,,1,,17,,0,,0,,0,,0,,3,,8,,33,
2013-02-27,2013,2,27,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-28,2013,2,28,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-01,2013,3,1,хр,1.3,,-1.2,,0.1,,17.9,,0,,0,,2.2,,2.2,,9,,36,,32,
2013-03-02,2013,3,2,хр,0.5,,-4.6,,-2.1,,20.1,,0,,0,,3,,2.6,,9,,24,,33,
2013-03-03,2013,3,3,хр,-1.4,,-5.2,,-3.3,,21.3,,0,,0,,1.4,,1.2,,12,,24,,39,
2013-03-04,2013,3,4,хр,-3.7,,-7.3,,-5.5,,23.5,,0,,0.2,,1.8,,2,,11,,26,,48,
2013-03-05,2013,3,5,хр,1.7,,-4.6,,-1.5,,19.5,,0,,0.4,,0.6,,1,,12,,4,,39,
2013-03-06,2013,3,6,хр,3,,0,,1.5,,16.5,,0,,0,,0,T,0,T,11,,4,,54,
2013-03-07,2013,3,7,хр,0.2,,-1.1,,-0.5,,18.5,,0,,0,,0,T,0,T,9,,4,,43,
2013-03-08,2013,3,8,хр,3.7,,-4.2,,-0.3,,18.3,,0,,0,,0,,0,,7,,3,,35,
2013-03-09,2013,3,9,хр,4.9,,-6.8,,-1,,19,,0,,0,,0,,0,,2,,,,<31,
2013-03-10,2013,3,10,хр,8.7,,-2.8,,3,,15,,0,,0,,0,,0,,2,,15,,32,
2013-03-11,2013,3,11,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-12,2013,3,12,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-13,2013,3,13,хр,4.3,,-0.2,,2.1,,15.9,,0,,0,,0,,0,,,,23,,35,
2013-03-14,2013,3,14,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-15,2013,3,15,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-16,2013,3,16,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-17,2013,3,17,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-18,2013,3,18,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-19,2013,3,19,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-20,2013,3,20,хр,0.7,,-6,,-2.7,,20.7,,0,,0,,0.6,,0.6,,27,,23,,50,
2013-03-21,2013,3,21,хр,1,,-5.6,,-2.3,,20.3,,0,,0,,0,T,0,T,24,,24,,48,
2013-03-22,2013,3,22,хр,-0.6,,-6.7,,-3.7,,21.7,,0,,0,,0,T,0,T,23,,25,,44,
2013-03-23,2013,3,23,хр,3.7,,-4.6,,-0.5,,18.5,,0,,0,,0,T,0,T,21,,31,,52,
2013-03-24,2013,3,24,хр,3.4,,-3.6,,-0.1,,18.1,,0,,0,,0,,0,,20,,,,<31,
2013-03-25,2013,3,25,хр,6,,-4.6,,0.7,,17.3,,0,,0,,0,,0,,18,,4,,48,
2013-03-26,2013,3,26,хр,6.9,,-1.6,,2.7,,15.3,,0,,0,T,0,,0,T,15,,22,,33,
2013-03-27,2013,3,27,хр,7.5,,-1.5,,3,,15,,0,,0.6,,0,,0.6,,3,,,,<31,
2013-03-28,2013,3,28,хр,8.8,,1.2,,5,,13,,0,,0,T,0,,0,T,,,,,<31,
2013-03-29,2013,3,29,хр,7.9,,0.3,,4.1,,13.9,,0,,0,T,0,,0,T,,,24,,35,
2013-03-30,2013,3,30,хр,8.9,,-2.7,,3.1,,14.9,,0,,0,,0,,0,,,,21,,33,
2013-03-31,2013,3,31,хр,11.9,,0.2,,6.1,,11.9,,0,,5.2,,0,,5.2,,,,22,,56,
2013-04-01,2013,4,1,хр,6.7,,-5.4,,0.7,,17.3,,0,,1.2,,0,T,1.2,,,,24,,76,
2013-04-02,2013,4,2,хр,-1,,-6.7,,-3.9,,21.9,,0,,0,,0,,0,,,,27,,65,
2013-04-03,2013,4,3,хр,2.2,,-4.7,,-1.3,,19.3,,0,,0,,0,,0,,,,25,,69,
2013-04-04,2013,4,4,хр,9.1,,-4.2,,2.5,,15.5,,0,,0,,0,,0,,,,23,,56,
2013-04-05,2013,4,5,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-06,2013,4,6,хр,2.2,,-6.3,,-2.1,,20.1,,0,,0,,0,,0,,,,21,,37,
2013-04-07,2013,4,7,хр,13,,0.7,,6.9,,11.1,,0,,0.8,,0,T,0.8,,,,27,,56,
2013-04-08,2013,4,8,хр,8.8,,2.6,,5.7,,12.3,,0,,2.6,,0,,2.6,,,,27,,41,
2013-04-09,2013,4,9,хр,8.7,,1.7,,5.2,,12.8,,0,,13,,0,,13,,,,4,,43,
2013-04-10,2013,4,10,хр,9.6,,1.1,,5.4,,12.6,,0,,0,T,0,,0,T,,,1,,37,
2013-04-11,2013,4,11,хр,3.8,,-1.6,,1.1,,16.9,,0,,0,,0,,0,,,,5,,37,
2013-04-12,2013,4,12,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-13,2013,4,13,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-14,2013,4,14,хр,8.7,,1.2,,5,,13,,0,,0,T,0,,0,T,1,,26,,39,
2013-04-15,2013,4,15,хр,13.4,,-1.4,,6,,12,,0,,0,,0,,0,,,,13,,37,
2013-04-16,2013,4,16,хр,13.7,,5.8,,9.8,,8.2,,0,,9,,0,,9,,,,23,,54,
2013-04-17,2013,4,17,хр,13.4,,3.3,,8.4,,9.6,,0,,0,,0,,0,,,,35,,32,
2013-04-18,2013,4,18,хр,16.4,,3.7,,10.1,,7.9,,0,,0.6,,0,,0.6,,,,13,,56,
2013-04-19,2013,4,19,хр,21.5,,6.4,,14,,4,,0,,3.8,,0,,3.8,,,,25,,83,
2013-04-20,2013,4,20,хр,9.1,,-0.4,,4.4,,13.6,,0,,0.8,,0,T,0.8,,,,23,,74,
2013-04-21,2013,4,21,хр,6.4,,-2.4,,2,,16,,0,,0,,0,,0,,,,31,,35,
2013-04-22,2013,4,22,хр,14,,-0.5,,6.8,,11.2,,0,,0,,0,,0,,,,13,,41,
2013-04-23,2013,4,23,хр,14.6,,3,,8.8,,9.2,,0,,0,,0,,0,,,,15,,50,
2013-04-24,2013,4,24,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-25,2013,4,25,хр,11,,3.2,,7.1,,10.9,,0,,0,T,0,,0,T,,,24,,74,
2013-04-26,2013,4,26,хр,11.1,,2.2,,6.7,,11.3,,0,,0.6,,0,,0.6,,,,,,<31,
2013-04-27,2013,4,27,хр,15.7,,2.2,,9,,9,,0,,0,,0,,0,,,,,,<31,
2013-04-28,2013,4,28,хр,21.2,,3.8,,12.5,,5.5,,0,,0,,0,,0,,,,,,<31,
2013-04-29,2013,4,29,хр,20.6,,9.2,,14.9,,3.1,,0,,0,,0,,0,,,,15,,48,
2013-04-30,2013,4,30,хр,22.1,,11.6,,16.9,,1.1,,0,,0,,0,,0,,,,,,<31,
2013-05-01,2013,5,1,хр,26.1,,9.7,,17.9,,0.1,,0,,0,,0,,0,,,,,,<31,
2013-05-02,2013,5,2,хр,24.8,,10.8,,17.8,,0.2,,0,,0,,0,,0,,,,4,,43,
2013-05-03,2013,5,3,хр,22.6,,8,,15.3,,2.7,,0,,0,,0,,0,,,,11,,37,
2013-05-04,2013,5,4,хр,24.5,,9.3,,16.9,,1.1,,0,,1,,0,,1,,,,,,<31,
2013-05-05,2013,5,5,хр,26.6,,10.5,,18.6,,0,,0.6,,0,,0,,0,,,,,,<31,
2013-05-06,2013,5,6,хр,27,,12.4,,19.7,,0,,1.7,,0,,0,,0,,,,22,,32,
2013-05-07,2013,5,7,хр,27.9,,12.3,,20.1,,0,,2.1,,0,,0,,0,,,,19,,32,
2013-05-08,2013,5,8,хр,28.7,,11.8,,20.3,,0,,2.3,,0.6,,0,,0.6,,,,16,,50,
2013-05-09,2013,5,9,хр,24.5,,16.4,,20.5,,0,,2.5,,0,T,0,,0,T,,,,,<31,
2013-05-10,2013,5,10,хр,20.3,,10.8,,15.6,,2.4,,0,,1,,0,,1,,,,4,,48,
2013-05-11,2013,5,11,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-12,2013,5,12,хр,13.4,,3.5,,8.5,,9.5,,0,,0.6,,0,,0.6,,,,23,,80,
2013-05-13,2013,5,13,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-14,2013,5,14,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-15,2013,5,15,хр,16.9,,4.6,,10.8,,7.2,,0,,1.6,,0,,1.6,,,,15,,52,
2013-05-16,2013,5,16,хр,17.5,,9.2,,13.4,,4.6,,0,,0,T,0,,0,T,,,30,,46,
2013-05-17,2013,5,17,хр,20.4,,6.6,,13.5,,4.5,,0,,0,T,0,,0,T,,,,,<31,
2013-05-18,2013,5,18,хр,21.9,,6.7,,14.3,,3.7,,0,,0,,0,,0,,,,,,<31,
2013-05-19,2013,5,19,хр,20.3,,8.5,,14.4,,3.6,,0,,4,,0,,4,,,,15,,43,
2013-05-20,2013,5,20,хр,22.6,,13.5,,18.1,,0,,0.1,,3.8,,0,,3.8,,,,,,<31,
2013-05-21,2013,5,21,хр,19.3,,13.4,,16.4,,1.6,,0,,5.5,,0,,5.5,,,,5,,44,
2013-05-22,2013,5,22,хр,23.4,,12.7,,18.1,,0,,0.1,,6.7,,0,,6.7,,,,21,,54,
