Date/Time,Year,Month,Day,Data Quality,Max Temp (хЁC),Max Temp Flag,Min Temp (хЁC),Min Temp Flag,Mean Temp (хЁC),Mean Temp Flag,Heat Deg Days (хЁC),Heat Deg Days Flag,Cool Deg Days (хЁC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2013-01-01,2013,1,1,хр,-5.6,,-18.5,,-12.1,,30.1,,0,,0,,0.2,,0.2,,67,,29,,59,
2013-01-02,2013,1,2,хр,-11.3,,-25.9,,-18.6,,36.6,,0,,0,,1,,0.4,,67,,33,,43,
2013-01-03,2013,1,3,хр,-15.7,,-26.2,,-21,,39,,0,,0,,3,,1.2,,67,,,,<31,
2013-01-04,2013,1,4,хр,-0.7,,-16.4,,-8.6,,26.6,,0,,0,,0.2,,0.2,,68,,22,,54,
2013-01-05,2013,1,5,хр,-0.6,,-13.9,,-7.3,,25.3,,0,,0,,0,T,0,T,65,,28,,54,
2013-01-06,2013,1,6,хр,-5.3,,-10.2,,-7.8,,25.8,,0,,0,,13.6,,8.4,,69,,,,<31,
2013-01-07,2013,1,7,хр,-2.3,,-20.4,,-11.4,,29.4,,0,,0,,0,T,0,T,76,,17,,48,
2013-01-08,2013,1,8,хр,2.3,,-5.3,,-1.5,,19.5,,0,,0,,0,,0,,76,,22,,39,
2013-01-09,2013,1,9,хр,3.9,,-6.8,,-1.5,,19.5,,0,,0.4,,0,T,0.4,,73,,28,,56,
2013-01-10,2013,1,10,хр,2.5,,-6.9,,-2.2,,20.2,,0,,0,,0,,0,,66,,29,,50,
2013-01-11,2013,1,11,хр,0.9,,-6.5,,-2.8,,20.8,,0,,2.4,,0,,2.4,,62,,9,,39,
2013-01-12,2013,1,12,хр,6.5,,0.5,,3.5,,14.5,,0,,0,,0,,0,,55,,,,<31,
2013-01-13,2013,1,13,хр,6.3,,1.5,,3.9,,14.1,,0,,5.6,,0,,5.6,,50,,9,,33,
2013-01-14,2013,1,14,хр,5.9,,-3.2,,1.4,,16.6,,0,,3,,0,,3,,42,,28,,59,
2013-01-15,2013,1,15,хр,-0.6,,-6.6,,-3.6,,21.6,,0,,0,,0,T,0,T,42,,22,,39,
2013-01-16,2013,1,16,хр,0.8,,-7.9,,-3.6,,21.6,,0,,0,,0,,0,,36,,20,,39,
2013-01-17,2013,1,17,хр,0.4,,-22.7,,-11.2,,29.2,,0,,0,,1,,0.6,,36,,29,,63,
2013-01-18,2013,1,18,хр,-6.6,,-24.8,,-15.7,,33.7,,0,,0,,2.8,,2.2,,35,,29,,32,
2013-01-19,2013,1,19,хр,3.3,,-7.2,,-2,,20,,0,,3.8,,8.6,,10,,43,,21,,39,
2013-01-20,2013,1,20,хр,6,,-17.2,,-5.6,,23.6,,0,,1,,2.2,,2.2,,38,,28,,72,
2013-01-21,2013,1,21,хр,-16.5,,-21.7,,-19.1,,37.1,,0,,0,,0,T,0,T,38,,,,<31,
2013-01-22,2013,1,22,хр,-16.2,,-24.6,,-20.4,,38.4,,0,,,M,0.6,,0.2,,38,,27,,43,
2013-01-23,2013,1,23,хр,-22.3,,-28.9,,-25.6,,43.6,,0,,0,,0,,0,,38,,,,<31,
2013-01-24,2013,1,24,хр,-17.9,,-27.8,,-22.9,,40.9,,0,,0,,0,,0,,38,,29,,50,
2013-01-25,2013,1,25,хр,-14.4,,-24.1,,-19.3,,37.3,,0,,0,,0,,0,,38,,29,,32,
2013-01-26,2013,1,26,хр,-10.4,,-21.1,,-15.8,,33.8,,0,,0,,0,,0,,38,,,,<31,
2013-01-27,2013,1,27,хр,-10.6,,-20.5,,-15.6,,33.6,,0,,0,,0,,0,,37,,,,<31,
2013-01-28,2013,1,28,хр,-7.9,,-12.2,,-10.1,,28.1,,0,,0,,13.4,,8.2,,36,,3,,37,
2013-01-29,2013,1,29,хр,-1.7,,-13.9,,-7.8,,25.8,,0,,4.4,,0,T,4.4,,47,,7,,32,
2013-01-30,2013,1,30,хр,11.7,,-1.8,,5,,13,,0,,1.8,,0,,1.8,,42,,19,,50,
2013-01-31,2013,1,31,хр,9,,-14.1,,-2.6,,20.6,,0,,9.4,,0,T,9.4,,25,,25,,83,
2013-02-01,2013,2,1,хр,-12.5,,-17.7,,-15.1,,33.1,,0,,0,,0,T,0,T,15,,29,,43,
2013-02-02,2013,2,2,хр,-12.3,,-18.5,,-15.4,,33.4,,0,,0,,1.4,,0.8,,15,,,,<31,
2013-02-03,2013,2,3,хр,-9.5,,-15,,-12.3,,30.3,,0,,0,,1.4,,0.8,,16,,,,<31,
2013-02-04,2013,2,4,хр,-10.8,,-18.8,,-14.8,,32.8,,0,,0,,0.4,,0,T,16,,28,,57,
2013-02-05,2013,2,5,хр,-8.9,,-23.1,,-16,,34,,0,,0,,1,,0.4,,16,,,,<31,
