Date/Time,Year,Month,Day,Data Quality,Max Temp (хЁC),Max Temp Flag,Min Temp (хЁC),Min Temp Flag,Mean Temp (хЁC),Mean Temp Flag,Heat Deg Days (хЁC),Heat Deg Days Flag,Cool Deg Days (хЁC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2011-01-01,2011,1,1,хр,-6.1,,-10.5,,-8.3,,26.3,,0,,,M,,M,0,,,,,,<31,
2011-01-02,2011,1,2,хр,-5.1,,-6.8,,-6,,24,,0,,,M,,M,0,,,,,,<31,
2011-01-03,2011,1,3,хр,-2.2,,-9.3,,-5.8,,23.8,,0,,,M,,M,0,,,,,,<31,
2011-01-04,2011,1,4,хр,-1.5,,-5.2,,-3.4,,21.4,,0,,,M,,M,4.3,,,,17,,44,
2011-01-05,2011,1,5,хр,0.8,,-2.7,,-1,,19,,0,,,M,,M,1.3,,,,17,,59,
2011-01-06,2011,1,6,хр,0.3,,-6.5,,-3.1,,21.1,,0,,,M,,M,0,,,,19,,35,
2011-01-07,2011,1,7,хр,-2.5,,-6.6,,-4.6,,22.6,,0,,,M,,M,3.7,,,,,,<31,
2011-01-08,2011,1,8,хр,-4.5,,-10.6,,-7.6,,25.6,,0,,,M,,M,0.3,,,,1,,37,
2011-01-09,2011,1,9,хр,-10.6,,-14.7,,-12.7,,30.7,,0,,,M,,M,0,,,,1,,32,
2011-01-10,2011,1,10,хр,-14.6,,-24.8,,-19.7,,37.7,,0,,,M,,M,0,,,,36,,33,
2011-01-11,2011,1,11,хр,-14.1,,-18.7,,-16.4,,34.4,,0,,,M,,M,0,,,,36,,35,
2011-01-12,2011,1,12,хр,-12.2,,-18.5,,-15.4,,33.4,,0,,,M,,M,0.3,,,,2,,52,
2011-01-13,2011,1,13,хр,,,,,,,,,,,,,,,,,,,,,,
2011-01-14,2011,1,14,хр,,,,,,,,,,,,,,,,,,,,,,
2011-01-15,2011,1,15,хр,,M,-21,E,,M,,M,,M,,M,,,,M,,,,M,,M
2011-01-16,2011,1,16,хр,,,,,,,,,,,,,,,,,,,,,,
2011-01-17,2011,1,17,хр,-13.4,,-19.1,,-16.3,,34.3,,0,,,M,,M,0,,,,,,<31,
2011-01-18,2011,1,18,хр,-6.3,,-15.2,,-10.8,,28.8,,0,,,M,,M,0,,,,19,,32,
2011-01-19,2011,1,19,хр,,,,,,,,,,,,,,,,,,,,,,
2011-01-20,2011,1,20,хр,,,,,,,,,,,,,,,,,,,,,,
2011-01-21,2011,1,21,хр,,,,,,,,,,,,,,,,,,,,,,
2011-01-22,2011,1,22,хр,2.3,,-3.4,,-0.6,,18.6,,0,,,M,,M,,M,,,18,,54,
2011-01-23,2011,1,23,хр,2.8,,-6.2,,-1.7,,19.7,,0,,,M,,M,,M,,,20,,44,
2011-01-24,2011,1,24,хр,,,,,,,,,,,,,,,,,,,,,,
2011-01-25,2011,1,25,хр,,,,,,,,,,,,,,,,,,,,,,
2011-01-26,2011,1,26,хр,,,,,,,,,,,,,,,,,,,,,,
2011-01-27,2011,1,27,хр,,,,,,,,,,,,,,,,,,,,,,
2011-01-28,2011,1,28,хр,,,,,,,,,,,,,,,,,,,,,,
2011-01-29,2011,1,29,хр,-7.5,,-14.3,,-10.9,,28.9,,0,,,M,,M,0,,,,,,<31,
2011-01-30,2011,1,30,хр,-10.7,,-21.9,,-16.3,,34.3,,0,,,M,,M,0,,,,,,<31,
2011-01-31,2011,1,31,хр,-15.4,,-25.8,,-20.6,,38.6,,0,,,M,,M,0,,,,,,<31,
2011-02-01,2011,2,1,хр,-6.4,,-23.3,,-14.9,,32.9,,0,,,M,,M,0,,,,,,<31,
2011-02-02,2011,2,2,хр,,,,,,,,,,,,,,,,,,,,,,
2011-02-03,2011,2,3,хр,,,,,,,,,,,,,,,,,,,,,,
2011-02-04,2011,2,4,хр,,,,,,,,,,,,,,,,,,,,,,
2011-02-05,2011,2,5,хр,0.4,,-7.8,,-3.7,,21.7,,0,,,M,,M,0,,,,,,<31,
2011-02-06,2011,2,6,хр,,,,,,,,,,,,,,,,,,,,,,
2011-02-07,2011,2,7,хр,,,,,,,,,,,,,,,,,,,,,,
2011-02-08,2011,2,8,хр,,,,,,,,,,,,,,,,,,,,,,
2011-02-09,2011,2,9,хр,,,,,,,,,,,,,,,,,,,,,,
2011-02-10,2011,2,10,хр,,,,,,,,,,,,,,,,,,,,,,
2011-02-11,2011,2,11,хр,2.7,,-1.3,,0.7,,17.3,,0,,,M,,M,,M,,,18,,44,
2011-02-12,2011,2,12,хр,2.8,,-1,,0.9,,17.1,,0,,,M,,M,,M,,,19,,52,
2011-02-13,2011,2,13,хр,3.1,,-3.5,,-0.2,,18.2,,0,,,M,,M,0,,,,19,,54,
2011-02-14,2011,2,14,хр,5.8,,-1.4,,2.2,,15.8,,0,,,M,,M,5.8,,,,17,,48,
2011-02-15,2011,2,15,хр,5.2,,-15.3,,-5.1,,23.1,,0,,,M,,M,0,,,,18,,67,
2011-02-16,2011,2,16,хр,-12.4,,-16.1,,-14.3,,32.3,,0,,,M,,M,0,,,,,,<31,
2011-02-17,2011,2,17,хр,-14.4,,-22,,-18.2,,36.2,,0,,,M,,M,0,,,,36,,32,
2011-02-18,2011,2,18,хр,-14.9,,-28.6,,-21.8,,39.8,,0,,,M,,M,0,,,,,,<31,
2011-02-19,2011,2,19,хр,-14.5,,-33.5,E,-24,E,42,E,0,E,,M,,M,0,,,,,M,,M
2011-02-20,2011,2,20,хр,-10,,-24.8,,-17.4,,35.4,,0,,,M,,M,0,,,,,,<31,
2011-02-21,2011,2,21,хр,-4.4,,-14.5,,-9.5,,27.5,,0,,,M,,M,0,,,,19,,39,
2011-02-22,2011,2,22,хр,-8.1,,-16.5,,-12.3,,30.3,,0,,,M,,M,0,,,,2,,35,
2011-02-23,2011,2,23,хр,-14.6,,-20.2,,-17.4,,35.4,,0,,,M,,M,0,,,,3,,59,
2011-02-24,2011,2,24,хр,-14.5,,-23.5,,-19,,37,,0,,,M,,M,0,,,,36,,52,
2011-02-25,2011,2,25,хр,-11,,-21.7,,-16.4,,34.4,,0,,,M,,M,0,,,,,,<31,
2011-02-26,2011,2,26,хр,-6.5,,-11.7,,-9.1,,27.1,,0,,,M,,M,0,,,,20,,46,
