Date/Time,Year,Month,Day,Data Quality,Max Temp (хбC),Max Temp Flag,Min Temp (хбC),Min Temp Flag,Mean Temp (хбC),Mean Temp Flag,Heat Deg Days (хбC),Heat Deg Days Flag,Cool Deg Days (хбC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1994-01-01,1994,1,1,ха,0.3,,-15.6,,-7.7,,25.7,,0,,0,,12,,9.2,,41,,,,<31,
1994-01-02,1994,1,2,,,,,,,,,,,,,,,,,,,,,,,
1994-01-03,1994,1,3,,,,,,,,,,,,,,,,,,,,,,,
1994-01-04,1994,1,4,,,,,,,,,,,,,,,,,,,,,,,
1994-01-05,1994,1,5,ха,-12.9,,-23.5,,-18.2,,36.2,,0,,0,,0.8,,0.8,,70,,27,,59,
1994-01-06,1994,1,6,ха,-23.1,,-27.2,,-25.2,,43.2,,0,,0,,0,,0,,70,,26,,59,
1994-01-07,1994,1,7,ха,-18.7,,-28.2,,-23.5,,41.5,,0,,0,,0,,0,,70,,23,,33,
1994-01-08,1994,1,8,ха,-16.2,,-22.9,,-19.6,,37.6,,0,,0,,6.4,,7.2,,65,,26,,41,
1994-01-09,1994,1,9,ха,-16.7,,-23.1,,-19.9,,37.9,,0,,0,,0.2,,0.2,,68,,27,,50,
1994-01-10,1994,1,10,ха,-15.2,,-22.1,,-18.7,,36.7,,0,,0,,0,,0,,68,,25,,44,
1994-01-11,1994,1,11,ха,-10.3,,-23.4,,-16.9,,34.9,,0,,0,,2.8,,1.8,,67,,,,<31,
1994-01-12,1994,1,12,ха,-12,,-21.7,,-16.9,,34.9,,0,,0,,0.4,,0.4,,68,,9,,32,
1994-01-13,1994,1,13,ха,-7.1,,-13,,-10.1,,28.1,,0,,0,,2.2,,1.6,,69,,,,<31,
1994-01-14,1994,1,14,ха,-8.7,,-15.6,,-12.2,,30.2,,0,,0,,8.2,,5.6,,69,,7,,48,
1994-01-15,1994,1,15,ха,-15.6,,-27.9,,-21.8,,39.8,,0,,0,,2.6,,1.8,,74,,25,,65,
1994-01-16,1994,1,16,ха,-25.4,,-29.4,,-27.4,,45.4,,0,,0,,0.4,,0.4,,74,,25,,50,
1994-01-17,1994,1,17,ха,-12.2,,-28,,-20.1,,38.1,,0,,0,,12.4,,10.6,,74,,6,,39,
1994-01-18,1994,1,18,ха,-11.2,,-24.7,,-18,,36,,0,,0,,2,,1.8,,82,,25,,50,
1994-01-19,1994,1,19,ха,-24.7,,-31.4,,-28.1,,46.1,,0,,0,,0,T,0,T,82,,27,,43,
1994-01-20,1994,1,20,ха,-17.1,,-29,,-23.1,,41.1,,0,,0,,1.4,,1.2,,83,,26,,37,
1994-01-21,1994,1,21,,,,,,,,,,,,,,,,,,,,,,,
1994-01-22,1994,1,22,ха,-9.8,,-26.8,,-18.3,,36.3,,0,,0,,3.4,,2.4,,88,,30,,43,
1994-01-23,1994,1,23,,,,,,,,,,,,,,,,,,,,,,,
1994-01-24,1994,1,24,ха,-13.1,,-19.2,,-16.2,,34.2,,0,,0,,4.2,,2.8,,86,,,,<31,
1994-01-25,1994,1,25,ха,-15.8,,-28.6,,-22.2,,40.2,,0,,,M,,M,,M,86,,25,,33,
1994-01-26,1994,1,26,ха,-23.9,,-33,,-28.5,,46.5,,0,,0,,0,,0,,85,,,,<31,
1994-01-27,1994,1,27,,,,,,,,,,,,,,,,,,,,,,,
1994-01-28,1994,1,28,,,,,,,,,,,,,,,,,,,,,,,
1994-01-29,1994,1,29,ха,-4.3,,-19.8,,-12.1,,30.1,,0,,0.6,,0.2,,1,,93,,24,,67,
1994-01-30,1994,1,30,ха,-19.1,,-26.5,,-22.8,,40.8,,0,,0,,0,,0,,93,,24,,35,
1994-01-31,1994,1,31,ха,-17.8,,-30,,-23.9,,41.9,,0,,0,,0,T,0,T,92,,,,<31,
