"Station Name","QUEBEC/JEAN LESAGE INTL"
"Province","QUEBEC"
"Latitude","46.80"
"Longitude","-71.38"
"Elevation","60.00"
"Climate Identifier","701S001"
"WMO Identifier","71714"
"TC Identifier","WQB"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"","Data for this day has undergone only preliminary quality checking"
"","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1995-01-01","1995","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-02","1995","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-03","1995","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-04","1995","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-05","1995","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-06","1995","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-07","1995","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-08","1995","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-09","1995","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-10","1995","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-11","1995","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-12","1995","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-13","1995","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-14","1995","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-15","1995","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-16","1995","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-17","1995","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-18","1995","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-19","1995","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-20","1995","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-21","1995","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-22","1995","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-23","1995","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-24","1995","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-25","1995","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-26","1995","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-27","1995","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-28","1995","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-29","1995","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-30","1995","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"1995-01-31","1995","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-01","1995","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-02","1995","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-03","1995","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-04","1995","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-05","1995","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-06","1995","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-07","1995","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-08","1995","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-09","1995","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-10","1995","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-11","1995","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-12","1995","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-13","1995","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-14","1995","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-15","1995","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-16","1995","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-17","1995","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-18","1995","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-19","1995","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-20","1995","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-21","1995","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-22","1995","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-23","1995","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-24","1995","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-25","1995","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-26","1995","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-27","1995","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"1995-02-28","1995","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-01","1995","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-02","1995","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-03","1995","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-04","1995","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-05","1995","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-06","1995","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-07","1995","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-08","1995","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-09","1995","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-10","1995","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-11","1995","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-12","1995","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-13","1995","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-14","1995","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-15","1995","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-16","1995","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-17","1995","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-18","1995","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-19","1995","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-20","1995","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-21","1995","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-22","1995","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-23","1995","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-24","1995","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-25","1995","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-26","1995","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-27","1995","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-28","1995","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-29","1995","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-30","1995","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"1995-03-31","1995","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-01","1995","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-02","1995","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-03","1995","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-04","1995","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-05","1995","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-06","1995","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-07","1995","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-08","1995","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-09","1995","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-10","1995","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-11","1995","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-12","1995","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-13","1995","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-14","1995","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-15","1995","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-16","1995","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-17","1995","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-18","1995","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-19","1995","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-20","1995","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-21","1995","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-22","1995","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-23","1995","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-24","1995","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-25","1995","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-26","1995","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-27","1995","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-28","1995","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-29","1995","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"1995-04-30","1995","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-01","1995","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-02","1995","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-03","1995","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-04","1995","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-05","1995","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-06","1995","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-07","1995","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-08","1995","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-09","1995","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-10","1995","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-11","1995","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-12","1995","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-13","1995","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-14","1995","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-15","1995","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-16","1995","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-17","1995","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-18","1995","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-19","1995","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-20","1995","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-21","1995","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-22","1995","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-23","1995","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-24","1995","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-25","1995","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-26","1995","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-27","1995","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-28","1995","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-29","1995","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-30","1995","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"1995-05-31","1995","05","31","","","","","","","","","","","","","","","","","","","","","","",""
