Date/Time,Year,Month,Day,Data Quality,Max Temp (å¡C),Max Temp Flag,Min Temp (å¡C),Min Temp Flag,Mean Temp (å¡C),Mean Temp Flag,Heat Deg Days (å¡C),Heat Deg Days Flag,Cool Deg Days (å¡C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2006-01-01,2006,1,1,,-2.6,,-4.1,,-3.4,,21.4,,0,,0,,0.5,,0.5,,,,,,,
2006-01-02,2006,1,2,,0.1,,-4.8,,-2.4,,20.4,,0,,0,,0,,0,,,,,,,
2006-01-03,2006,1,3,,-3.7,,-13.4,,-8.6,,26.6,,0,,0,,0.6,,0.6,,,,,,,
2006-01-04,2006,1,4,,-8.8,,-16.5,,-12.7,,30.7,,0,,0,,0.4,,0.4,,,,,,,
2006-01-05,2006,1,5,,-1.8,,-15.3,,-8.6,,26.6,,0,,0,,0.4,,0.4,,,,,,,
2006-01-06,2006,1,6,,2.5,,-8,,-2.8,,20.8,,0,,0,,0,,0,,,,,,,
2006-01-07,2006,1,7,,-0.7,,-9.6,,-5.2,,23.2,,0,,0,,0,,0,,,,,,,
2006-01-08,2006,1,8,,-3.1,,-7.4,,-5.3,,23.3,,0,,0,,0,,0,,,,,,,
2006-01-09,2006,1,9,,2.2,,-9.4,,-3.6,,21.6,,0,,0,,0,,0,,,,,,,
2006-01-10,2006,1,10,,0.6,,-11.3,,-5.4,,23.4,,0,,0,,2,,2,,,,,,,
2006-01-11,2006,1,11,,0.1,,-6.7,,-3.3,,21.3,,0,,0,,1.7,,1.7,,,,,,,
2006-01-12,2006,1,12,,-2.1,,-6.2,,-4.2,,22.2,,0,,0,,0,,0,,,,,,,
2006-01-13,2006,1,13,,-2.1,,-7.7,,-4.9,,22.9,,0,,0,,0,,0,,,,,,,
2006-01-14,2006,1,14,,-0.2,,-5.7,,-3,,21,,0,,0,,0,,0,,,,,,,
2006-01-15,2006,1,15,,-1,,-11.3,,-6.2,,24.2,,0,,0,,1.4,,1.4,,,,,,,
2006-01-16,2006,1,16,,-4.9,,-10.8,,-7.9,,25.9,,0,,0,,0.5,,0.5,,,,,,,
2006-01-17,2006,1,17,,-6.7,,-13.7,,-10.2,,28.2,,0,,0,,0,,0,,,,,,,
2006-01-18,2006,1,18,,-4.6,,-7.5,,-6.1,,24.1,,0,,0,,0,,0,,,,,,,
2006-01-19,2006,1,19,,-5.4,,-21.2,,-13.3,,31.3,,0,,0,,0.4,,0.4,,,,,,,
2006-01-20,2006,1,20,,-5,,-23.2,,-14.1,,32.1,,0,,0,,0,,0,,,,,,,
2006-01-21,2006,1,21,,-7.4,,-22.7,,-15.1,,33.1,,0,,0,,0,,0,,,,,,,
2006-01-22,2006,1,22,,-6.1,,-18.2,,-12.2,,30.2,,0,,0,,0,,0,,,,,,,
2006-01-23,2006,1,23,,2.7,,-14.3,,-5.8,,23.8,,0,,0,,1.3,,1.3,,,,,,,
2006-01-24,2006,1,24,,-1,,-10.3,,-5.7,,23.7,,0,,0,,0,,0,,,,,,,
2006-01-25,2006,1,25,,3.2,,-8.4,,-2.6,,20.6,,0,,0,,0,,0,,,,,,,
2006-01-26,2006,1,26,,2.8,,-9.9,,-3.6,,21.6,,0,,0,,0,,0,,,,,,,
2006-01-27,2006,1,27,,-1.3,,-9.1,,-5.2,,23.2,,0,,0,,0,,0,,,,,,,
2006-01-28,2006,1,28,,-1.1,,-10.3,,-5.7,,23.7,,0,,0,,0,,0,,,,,,,
2006-01-29,2006,1,29,,-1.4,,-8,,-4.7,,22.7,,0,,0,,0,,0,,,,,,,
2006-01-30,2006,1,30,,1.2,,-8,,-3.4,,21.4,,0,,0,,0,,0,,,,,,,
2006-01-31,2006,1,31,,2.1,,-8.2,,-3.1,,21.1,,0,,0,,0,,0,,,,,,,
2006-02-01,2006,2,1,,-1.2,,-8.4,,-4.8,,22.8,,0,,0,,0,,0,,,,,,,
2006-02-02,2006,2,2,,-5.3,,-15.2,,-10.3,,28.3,,0,,0,,0.5,,0.5,,,,,,,
2006-02-03,2006,2,3,,-5.3,,-10.3,,-7.8,,25.8,,0,,0,,0,,0,,,,,,,
2006-02-04,2006,2,4,,-2.9,,-7.7,,-5.3,,23.3,,0,,0,,0,,0,,,,,,,
2006-02-05,2006,2,5,,-0.2,,-4.9,,-2.6,,20.6,,0,,0,,0,,0,,,,,,,
2006-02-06,2006,2,6,,-3.6,,-13.1,,-8.4,,26.4,,0,,0,,0,,0,,,,,,,
2006-02-07,2006,2,7,,-9.5,,-21.7,,-15.6,,33.6,,0,,0,,0.9,,0.9,,,,,,,
2006-02-08,2006,2,8,,-0.6,,-20.1,,-10.4,,28.4,,0,,0,,0,,0,,,,,,,
2006-02-09,2006,2,9,,-1.2,,-6,,-3.6,,21.6,,0,,0,,0,,0,,,,,,,
2006-02-10,2006,2,10,,-5.3,,-17.8,,-11.6,,29.6,,0,,0,,0,,0,,,,,,,
2006-02-11,2006,2,11,,-5.4,,-19.7,,-12.6,,30.6,,0,,0,,0.6,,0.6,,,,,,,
2006-02-12,2006,2,12,,3.3,,-19.1,,-7.9,,25.9,,0,,0,,0.5,,0.5,,,,,,,
2006-02-13,2006,2,13,,2.8,,-8.8,,-3,,21,,0,,0,,0,,0,,,,,,,
2006-02-14,2006,2,14,,-3.2,,-22.2,,-12.7,,30.7,,0,,0,,0,,0,,,,,,,
2006-02-15,2006,2,15,,-13.5,,-23.3,,-18.4,,36.4,,0,,0,,0,,0,,,,,,,
2006-02-16,2006,2,16,,-19.4,,-32.7,,-26.1,,44.1,,0,,0,,0.4,,0.4,,,,,,,
2006-02-17,2006,2,17,,-18.8,,-32.8,,-25.8,,43.8,,0,,0,,0,,0,,,,,,,
2006-02-18,2006,2,18,,-11,,-21,,-16,,34,,0,,0,,0,,0,,,,,,,
2006-02-19,2006,2,19,,-5.3,,-20,,-12.7,,30.7,,0,,0,,0,,0,,,,,,,
2006-02-20,2006,2,20,,-6.6,,-16.5,,-11.6,,29.6,,0,,0,,0.5,,0.5,,,,,,,
2006-02-21,2006,2,21,,-4.3,,-10,,-7.2,,25.2,,0,,0,,0.6,,0.6,,,,,,,
2006-02-22,2006,2,22,,-7.5,,-15.7,,-11.6,,29.6,,0,,0,,0,,0,,,,,,,
2006-02-23,2006,2,23,,-7.9,,-19.5,,-13.7,,31.7,,0,,0,,0,,0,,,,,,,
2006-02-24,2006,2,24,,-9.4,,-17.7,,-13.6,,31.6,,0,,0,,0,,0,,,,,,,
2006-02-25,2006,2,25,,-8.6,,-20.5,,-14.6,,32.6,,0,,0,,0,,0,,,,,,,
2006-02-26,2006,2,26,,-11.7,,-22.7,,-17.2,,35.2,,0,,0,,0.5,,0.5,,,,,,,
2006-02-27,2006,2,27,,-10,,-14.6,,-12.3,,30.3,,0,,0,,0,,0,,,,,,,
2006-02-28,2006,2,28,,-1.8,,-11.1,,-6.5,,24.5,,0,,0,,0,,0,,,,,,,
2006-03-01,2006,3,1,,-5.4,,-11.8,,-8.6,,26.6,,0,,0,,4.9,,4.9,,,,,,,
2006-03-02,2006,3,2,,-11,,-19.8,,-15.4,,33.4,,0,,0,,0,,0,,,,,,,
2006-03-03,2006,3,3,,-7.8,,-22.3,,-15.1,,33.1,,0,,0,,0.5,,0.5,,,,,,,
2006-03-04,2006,3,4,,-4.5,,-10.1,,-7.3,,25.3,,0,,0,,0.4,,0.4,,,,,,,
2006-03-05,2006,3,5,,-4.3,,-16,,-10.2,,28.2,,0,,0,,0,,0,,,,,,,
2006-03-06,2006,3,6,,-1.6,,-16,,-8.8,,26.8,,0,,0,,0.4,,0.4,,,,,,,
2006-03-07,2006,3,7,,3,,-2.6,,0.2,,17.8,,0,,0,,0,,0,,,,,,,
2006-03-08,2006,3,8,,0.9,,-5.4,,-2.3,,20.3,,0,,0,,0,,0,,,,,,,
2006-03-09,2006,3,9,,2.6,,-6.4,,-1.9,,19.9,,0,,0,,0,,0,,,,,,,
