Date/Time,Year,Month,Day,Data Quality,Max Temp (хбC),Max Temp Flag,Min Temp (хбC),Min Temp Flag,Mean Temp (хбC),Mean Temp Flag,Heat Deg Days (хбC),Heat Deg Days Flag,Cool Deg Days (хбC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2008-01-01,2008,1,1,ха,-11.9,,-28.2,,-20.1,,38.1,,0,,,M,,M,0.4,,7,,35,,32,
2008-01-02,2008,1,2,ха,-3,,-25,,-14,,32,,0,,,M,,M,0,,7,,15,,65,
2008-01-03,2008,1,3,ха,-0.2,,-10.6,,-5.4,,23.4,,0,,,M,,M,0,,6,,13,,39,
2008-01-04,2008,1,4,ха,2.9,,-8.8,,-3,,21,,0,,,M,,M,0,,6,,25,,32,
2008-01-05,2008,1,5,ха,3.7,,-3.8,,-0.1,,18.1,,0,,,M,,M,0,,6,,13,,33,
2008-01-06,2008,1,6,ха,0.9,,-8.9,,-4,,22,,0,,,M,,M,0,,5,,25,,46,
2008-01-07,2008,1,7,ха,-4.6,,-16.5,,-10.6,,28.6,,0,,,M,,M,0,,5,,,,<31,
2008-01-08,2008,1,8,ха,-11.8,,-18.7,,-15.3,,33.3,,0,,,M,,M,0,,5,,,,<31,
2008-01-09,2008,1,9,ха,-7.3,,-20.2,,-13.8,,31.8,,0,,,M,,M,0,,6,,,,<31,
2008-01-10,2008,1,10,ха,-11.5,,-20.2,,-15.9,,33.9,,0,,,M,,M,0,,5,,12,,37,
2008-01-11,2008,1,11,ха,-9,,-11.8,,-10.4,,28.4,,0,,0,,,M,1,,6,,11,,33,
2008-01-12,2008,1,12,ха,-4,,-14,,-9,,27,,0,,,M,,M,0,,7,,,,<31,
2008-01-13,2008,1,13,ха,-7.6,,-14.9,,-11.3,,29.3,,0,,,M,,M,0,,6,,,,<31,
2008-01-14,2008,1,14,ха,-6.4,,-14.3,,-10.4,,28.4,,0,,,M,,M,0,,7,,14,,39,
2008-01-15,2008,1,15,ха,2.9,,-14.6,,-5.9,,23.9,,0,,,M,,M,0,,7,,32,,74,
2008-01-16,2008,1,16,ха,-9.1,,-25.4,,-17.3,,35.3,,0,,,M,,M,0,,6,,33,,61,
2008-01-17,2008,1,17,ха,-8.1,,-25.2,,-16.7,,34.7,,0,,,M,,M,0.5,,6,,35,,48,
