Date/Time,Year,Month,Day,Data Quality,Max Temp (хбC),Max Temp Flag,Min Temp (хбC),Min Temp Flag,Mean Temp (хбC),Mean Temp Flag,Heat Deg Days (хбC),Heat Deg Days Flag,Cool Deg Days (хбC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2015-01-01,2015,1,1,ха,-4.5,,-12.5,,-8.5,,26.5,,0,,,M,,M,0.4,,4,,,,<31,
2015-01-02,2015,1,2,ха,-12.5,,-20.7,,-16.6,,34.6,,0,,,M,,M,1.2,,5,,4,,44,
2015-01-03,2015,1,3,ха,-20.6,,-35.4,,-28,,46,,0,,,M,,M,0.2,,8,,35,,33,
2015-01-04,2015,1,4,ха,-26.6,,-37.6,,-32.1,,50.1,,0,,,M,,M,0,,8,,25,,35,
2015-01-05,2015,1,5,ха,-18.8,,-32.1,,-25.5,,43.5,,0,,,M,,M,0,,7,,31,,35,
2015-01-06,2015,1,6,ха,-19.6,,-29.8,,-24.7,,42.7,,0,,,M,,M,0,,7,,31,,32,
2015-01-07,2015,1,7,ха,-13.1,,-33,,-23.1,,41.1,,0,,,M,,M,0.4,,7,,32,,35,
2015-01-08,2015,1,8,ха,-13.8,,-21.5,,-17.7,,35.7,,0,,,M,,M,0,,5,,31,,56,
2015-01-09,2015,1,9,ха,-20.5,,-28.3,,-24.4,,42.4,,0,,,M,,M,0,,4,,31,,33,
2015-01-10,2015,1,10,ха,-21.8,,-29.9,,-25.9,,43.9,,0,,,M,,M,0,,4,,,,<31,
2015-01-11,2015,1,11,ха,-19.1,,-31.1,,-25.1,,43.1,,0,,,M,,M,0,,4,,,,<31,
2015-01-12,2015,1,12,ха,-12.3,,-25.8,,-19.1,,37.1,,0,,,M,,M,0,,3,,,,<31,
2015-01-13,2015,1,13,ха,-6.1,,-21,,-13.6,,31.6,,0,,,M,,M,,M,4,,,,<31,
2015-01-14,2015,1,14,ха,3.1,,-7.3,,-2.1,,20.1,,0,,,M,,M,0,,5,,30,,32,
2015-01-15,2015,1,15,ха,-1.3,,-9.5,,-5.4,,23.4,,0,,,M,,M,0,,5,,9,,41,
2015-01-16,2015,1,16,ха,-0.1,,-9,,-4.6,,22.6,,0,,,M,,M,0.2,,4,,31,,46,
2015-01-17,2015,1,17,ха,2.5,,-7.7,,-2.6,,20.6,,0,,,M,,M,0,,4,,29,,41,
2015-01-18,2015,1,18,ха,-1.7,,-12.8,,-7.3,,25.3,,0,,,M,,M,0,,4,,,,<31,
2015-01-19,2015,1,19,ха,0.1,,-7.2,,-3.6,,21.6,,0,,,M,,M,0,,4,,,,<31,
2015-01-20,2015,1,20,ха,-2,,-6.3,,-4.2,,22.2,,0,,,M,,M,1.5,,4,,,,<31,
2015-01-21,2015,1,21,ха,-0.5,,-6.1,,-3.3,,21.3,,0,,,M,,M,0,,6,,19,,41,
2015-01-22,2015,1,22,ха,6.1,,-4,,1.1,,16.9,,0,,,M,,M,0,,7,,23,,37,
2015-01-23,2015,1,23,ха,1.9,,-6.5,,-2.3,,20.3,,0,,,M,,M,0,,5,,,,<31,
2015-01-24,2015,1,24,ха,4,,-6.3,,-1.2,,19.2,,0,,,M,,M,1.1,,6,,31,,50,
2015-01-25,2015,1,25,ха,4.6,,-4.3,,0.2,,17.8,,0,,,M,,M,0,,5,,22,,39,
2015-01-26,2015,1,26,ха,4,,-2.9,,0.6,,17.4,,0,,,M,,M,0,,5,,,,<31,
2015-01-27,2015,1,27,ха,3.5,,-3.7,,-0.1,,18.1,,0,,,M,,M,0,,5,,7,,46,
2015-01-28,2015,1,28,ха,-2.4,,-9.5,,-6,,24,,0,,,M,,M,0.8,,5,,32,,57,
2015-01-29,2015,1,29,ха,-8.3,,-15.8,,-12.1,,30.1,,0,,,M,,M,0,,5,,,,<31,
2015-01-30,2015,1,30,ха,-6.4,,-13.7,,-10.1,,28.1,,0,,,M,,M,0,,5,,6,,41,
2015-01-31,2015,1,31,ха,-12.2,,-24.1,,-18.2,,36.2,,0,,,M,,M,0,,5,,5,,43,
2015-02-01,2015,2,1,ха,-13.3,,-24.5,,-18.9,,36.9,,0,,,M,,M,0,,5,,,,<31,
2015-02-02,2015,2,2,ха,-14.3,,-22,,-18.2,,36.2,,0,,,M,,M,0,,5,,,,<31,
2015-02-03,2015,2,3,ха,-13.5,,-24.5,,-19,,37,,0,,,M,,M,0.2,,4,,35,,48,
2015-02-04,2015,2,4,ха,-9.3,,-27,,-18.2,,36.2,,0,,,M,,M,0,,4,,20,,41,
2015-02-05,2015,2,5,ха,-8.8,,-16.6,,-12.7,,30.7,,0,,,M,,M,1.8,,4,,7,,43,
2015-02-06,2015,2,6,ха,-16,,-17.3,,-16.7,,34.7,,0,,,M,,M,0.7,,4,,10,,54,
