Date/Time,Year,Month,Day,Data Quality,Max Temp (хЁC),Max Temp Flag,Min Temp (хЁC),Min Temp Flag,Mean Temp (хЁC),Mean Temp Flag,Heat Deg Days (хЁC),Heat Deg Days Flag,Cool Deg Days (хЁC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2012-01-01,2012,1,1,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-02,2012,1,2,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-03,2012,1,3,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-04,2012,1,4,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-05,2012,1,5,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-06,2012,1,6,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-07,2012,1,7,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-08,2012,1,8,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-09,2012,1,9,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-10,2012,1,10,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-11,2012,1,11,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-12,2012,1,12,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-13,2012,1,13,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-14,2012,1,14,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-15,2012,1,15,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-16,2012,1,16,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-17,2012,1,17,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-18,2012,1,18,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-19,2012,1,19,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-20,2012,1,20,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-21,2012,1,21,хр,,,,,,,,,,,,,,,,,,,,,,
2012-01-22,2012,1,22,хр,,,,,,,,,,,,,,,,,,,,,,
