Date/Time,Year,Month,Day,Data Quality,Max Temp (å¡C),Max Temp Flag,Min Temp (å¡C),Min Temp Flag,Mean Temp (å¡C),Mean Temp Flag,Heat Deg Days (å¡C),Heat Deg Days Flag,Cool Deg Days (å¡C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2003-01-01,2003,1,1,,,,,,,,,,,,,,,,,,,,,,,
2003-01-02,2003,1,2,,,,,,,,,,,,,,,,,,,,,,,
2003-01-03,2003,1,3,,,,,,,,,,,,,,,,,,,,,,,
2003-01-04,2003,1,4,,,,,,,,,,,,,,,,,,,,,,,
2003-01-05,2003,1,5,,,,,,,,,,,,,,,,,,,,,,,
2003-01-06,2003,1,6,,,,,,,,,,,,,,,,,,,,,,,
2003-01-07,2003,1,7,,,,,,,,,,,,,,,,,,,,,,,
2003-01-08,2003,1,8,,,,,,,,,,,,,,,,,,,,,,,
2003-01-09,2003,1,9,,,,,,,,,,,,,,,,,,,,,,,
2003-01-10,2003,1,10,,,,,,,,,,,,,,,,,,,,,,,
2003-01-11,2003,1,11,,,,,,,,,,,,,,,,,,,,,,,
2003-01-12,2003,1,12,,,,,,,,,,,,,,,,,,,,,,,
2003-01-13,2003,1,13,,,,,,,,,,,,,,,,,,,,,,,
2003-01-14,2003,1,14,,,,,,,,,,,,,,,,,,,,,,,
2003-01-15,2003,1,15,,,,,,,,,,,,,,,,,,,,,,,
2003-01-16,2003,1,16,,,,,,,,,,,,,,,,,,,,,,,
2003-01-17,2003,1,17,,,,,,,,,,,,,,,,,,,,,,,
2003-01-18,2003,1,18,,,,,,,,,,,,,,,,,,,,,,,
2003-01-19,2003,1,19,,,,,,,,,,,,,,,,,,,,,,,
2003-01-20,2003,1,20,,,,,,,,,,,,,,,,,,,,,,,
