Date/Time,Year,Month,Day,Data Quality,Max Temp (хбC),Max Temp Flag,Min Temp (хбC),Min Temp Flag,Mean Temp (хбC),Mean Temp Flag,Heat Deg Days (хбC),Heat Deg Days Flag,Cool Deg Days (хбC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2015-01-01,2015,1,1,ха,-7.6,,-18.9,,-13.3,,31.3,,0,,,M,,M,0,,4,,33,,52,
2015-01-02,2015,1,2,ха,-13.2,,-21,,-17.1,,35.1,,0,,,M,,M,0.2,,4,,,,<31,
2015-01-03,2015,1,3,ха,-6.6,,-19.4,,-13,,31,,0,,,M,,M,8.5,,11,,35,,39,
2015-01-04,2015,1,4,ха,-19.4,,-28.1,,-23.8,,41.8,,0,,,M,,M,0,,17,,30,,46,
2015-01-05,2015,1,5,ха,-17.5,,-30,,-23.8,,41.8,,0,,,M,,M,0,,12,,28,,39,
2015-01-06,2015,1,6,ха,-16.6,,-25,,-20.8,,38.8,,0,,,M,,M,0,,12,,34,,57,
2015-01-07,2015,1,7,ха,-19.4,,-28,,-23.7,,41.7,,0,,,M,,M,0,,10,,30,,48,
2015-01-08,2015,1,8,ха,-12.8,,-19.5,,-16.2,,34.2,,0,,,M,,M,1.2,,8,,32,,48,
2015-01-09,2015,1,9,ха,-18.6,,-22.9,,-20.8,,38.8,,0,,,M,,M,0,,7,,30,,48,
2015-01-10,2015,1,10,ха,-13.3,,-27,,-20.2,,38.2,,0,,,M,,M,0,,9,,,,<31,
2015-01-11,2015,1,11,ха,-14.8,,-28.7,,-21.8,,39.8,,0,,,M,,M,0,,9,,,,<31,
2015-01-12,2015,1,12,ха,-16.9,,-27.1,,-22,,40,,0,,,M,,M,0,,9,,,,<31,
2015-01-13,2015,1,13,ха,-7,,-31.4,,-19.2,,37.2,,0,,,M,,M,0,,9,,,,<31,
2015-01-14,2015,1,14,ха,-4.6,,-11.2,,-7.9,,25.9,,0,,,M,,M,1,,9,,27,,32,
2015-01-15,2015,1,15,ха,-0.9,,-16.4,,-8.7,,26.7,,0,,,M,,M,0,,11,,29,,61,
2015-01-16,2015,1,16,ха,-14.4,E,-27.6,E,-21,E,39,E,0,E,,M,,M,0.2,E,9,,,M,,M
2015-01-17,2015,1,17,ха,-0.9,E,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
2015-01-18,2015,1,18,ха,-3.3,,-19.5,,-11.4,,29.4,,0,,,M,,M,0,,12,,32,,39,
2015-01-19,2015,1,19,ха,-10.5,,-23.5,,-17,,35,,0,,,M,,M,0.4,,12,,,,<31,
2015-01-20,2015,1,20,ха,-3.9,,-24.2,,-14.1,,32.1,,0,,,M,,M,0,,11,,,,<31,
2015-01-21,2015,1,21,ха,-4.1,,-10.5,,-7.3,,25.3,,0,,,M,,M,0,,12,,32,,33,
2015-01-22,2015,1,22,ха,-0.3,,-21.3,,-10.8,,28.8,,0,,,M,,M,0,,,,24,,33,
2015-01-23,2015,1,23,ха,3.8,,-1.2,,1.3,,16.7,,0,,,M,,M,0,,,,29,,33,
2015-01-24,2015,1,24,ха,2.1,,-17.6,,-7.8,,25.8,,0,,,M,,M,0,,5,,1,,35,
2015-01-25,2015,1,25,ха,-11.4,,-24.6,,-18,,36,,0,,,M,,M,0,,,,,,<31,
2015-01-26,2015,1,26,ха,-3.8,,-13.8,,-8.8,,26.8,,0,,,M,,M,4.1,,,,,,<31,
2015-01-27,2015,1,27,ха,-1.6,,-6.1,,-3.9,,21.9,,0,,,M,,M,0.2,,12,,,,<31,
2015-01-28,2015,1,28,ха,-0.9,,-5.7,,-3.3,,21.3,,0,,,M,,M,0.5,,11,,,,<31,
2015-01-29,2015,1,29,ха,-0.8,,-18.1,,-9.5,,27.5,,0,,,M,,M,0.2,,10,,33,,52,
2015-01-30,2015,1,30,ха,-10.3,,-25.6,,-18,,36,,0,,,M,,M,1.2,,15,,,,<31,
2015-01-31,2015,1,31,ха,-10,,-25.1,,-17.6,,35.6,,0,,,M,,M,0,,15,,35,,35,
2015-02-01,2015,2,1,ха,-15.4,,-27.9,,-21.7,,39.7,,0,,,M,,M,0,,15,,,,<31,
2015-02-02,2015,2,2,ха,-11.7,,-29.3,,-20.5,,38.5,,0,,,M,,M,0,,15,,,,<31,
2015-02-03,2015,2,3,ха,-12.2,,-26.9,,-19.6,,37.6,,0,,,M,,M,0,,14,,32,,33,
2015-02-04,2015,2,4,ха,-17.1,,-31.4,,-24.3,,42.3,,0,,,M,,M,0.2,,14,,31,,44,
2015-02-05,2015,2,5,ха,-7.2,,-28.6,,-17.9,,35.9,,0,,,M,,M,0,,14,,25,,37,
2015-02-06,2015,2,6,ха,-10.5,,-16.7,,-13.6,,31.6,,0,,,M,,M,1.1,,14,,33,,32,
