Date/Time,Year,Month,Day,Data Quality,Max Temp (хЁC),Max Temp Flag,Min Temp (хЁC),Min Temp Flag,Mean Temp (хЁC),Mean Temp Flag,Heat Deg Days (хЁC),Heat Deg Days Flag,Cool Deg Days (хЁC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2016-01-01,2016,1,1,хр,-0.3,,-4.2,,-2.3,,20.3,,0,,0,,0.8,,0.8,,0,,25,,46,
2016-01-02,2016,1,2,хр,0.3,,-4.3,,-2,,20,,0,,0,,0,T,0,T,0,,23,,44,
2016-01-03,2016,1,3,хр,1.6,,-11.6,,-5,,23,,0,,0,,0,T,0,T,0,,34,,54,
2016-01-04,2016,1,4,хр,-11.2,,-15.4,,-13.3,,31.3,,0,,0,,0,T,0,T,0,,2,,37,
2016-01-05,2016,1,5,хр,-2.6,,-15.2,,-8.9,,26.9,,0,,0,,0,,0,,0,,23,,32,
2016-01-06,2016,1,6,хр,2.4,,-6.8,,-2.2,,20.2,,0,,0,,0,,0,,0,,23,,32,
2016-01-07,2016,1,7,хр,4.4,,-5.3,,-0.5,,18.5,,0,,0,,0,,0,,,,,,<31,
2016-01-08,2016,1,8,хр,4.1,,-5.6,,-0.8,,18.8,,0,,2.8,,0,,2.8,,,,,,<31,
2016-01-09,2016,1,9,хр,8.6,,2.8,,5.7,,12.3,,0,,2,,0,,2,,0,,,,<31,
2016-01-10,2016,1,10,хр,6.8,,-6.5,,0.2,,17.8,,0,,18.2,,0.2,,18.4,,0,,28,,85,
2016-01-11,2016,1,11,хр,-5.9,,-10.5,,-8.2,,26.2,,0,,0.2,,0,T,0.2,,0,,27,,65,
2016-01-12,2016,1,12,хр,-1.9,,-9.7,,-5.8,,23.8,,0,,0,,5,,4.4,,2,,28,,65,
2016-01-13,2016,1,13,хр,-7,,-10.5,,-8.8,,26.8,,0,,0,,0.4,,0.4,,5,,28,,50,
2016-01-14,2016,1,14,хр,-2.1,,-8.5,,-5.3,,23.3,,0,,0,,0.2,,0.2,,5,,25,,41,
2016-01-15,2016,1,15,хр,4.2,,-3,,0.6,,17.4,,0,,1.8,,0,,1.8,,2,,10,,32,
2016-01-16,2016,1,16,хр,3.5,,-4.4,,-0.5,,18.5,,0,,0.8,,0,T,0.8,,0,,30,,63,
2016-01-17,2016,1,17,хр,0.1,,-10.6,,-5.3,,23.3,,0,,0,,0,T,0,T,0,,26,,46,
2016-01-18,2016,1,18,хр,-7.8,,-11.8,,-9.8,,27.8,,0,,0,,2.4,,2.2,,2,,30,,52,
2016-01-19,2016,1,19,хр,-3.9,,-14.5,,-9.2,,27.2,,0,,0,,0,T,0,T,1,,31,,67,
2016-01-20,2016,1,20,хр,-3.9,,-8.1,,-6,,24,,0,,0,,0,T,0,T,1,,29,,35,
2016-01-21,2016,1,21,хр,-3.8,,-10,,-6.9,,24.9,,0,,0,,0.6,,0.4,,1,,,,<31,
2016-01-22,2016,1,22,хр,-2.2,,-12.4,,-7.3,,25.3,,0,,0,,0,,0,,1,,,,<31,
2016-01-23,2016,1,23,хр,-3.7,,-11.2,,-7.5,,25.5,,0,,0,,0,,0,,0,,36,,32,
2016-01-24,2016,1,24,хр,-0.8,,-11,,-5.9,,23.9,,0,,0,,0,,0,,0,,,,<31,
2016-01-25,2016,1,25,хр,4,,-1.3,,1.4,,16.6,,0,,0,T,0,,0,T,0,,20,,35,
2016-01-26,2016,1,26,хр,6.6,,0.4,,3.5,,14.5,,0,,0.2,,0,T,0.2,,0,,24,,70,
2016-01-27,2016,1,27,хр,1,,-3.2,,-1.1,,19.1,,0,,0,,0.2,,0.2,,0,,22,,57,
2016-01-28,2016,1,28,хр,1.6,,-1.8,,-0.1,,18.1,,0,,0,,0.8,,1,,0,,21,,54,
2016-01-29,2016,1,29,хр,-0.3,,-10.7,,-5.5,,23.5,,0,,0,,0,T,0,T,1,,28,,50,
2016-01-30,2016,1,30,хр,5.9,,-8.4,,-1.3,,19.3,,0,,0,,0,,0,,,,24,,46,
2016-01-31,2016,1,31,хр,10.6,,0.7,,5.7,,12.3,,0,,2.6,,0,,2.6,,,,23,,52,
2016-02-01,2016,2,1,хр,8.8,,-0.6,,4.1,,13.9,,0,,0,,0,,0,,,,29,,50,
2016-02-02,2016,2,2,хр,2.8,,-2.8,,0,,18,,0,,3.4,,0,T,3.6,,0,,10,,56,
2016-02-03,2016,2,3,хр,16,,1.7,,8.9,,9.1,,0,,2.8,,0,,2.8,,,,25,,72,
2016-02-04,2016,2,4,хр,4,,-1.8,,1.1,,16.9,,0,,0,,0,,0,,,,27,,44,
2016-02-05,2016,2,5,хр,2.8,,-3.2,,-0.2,,18.2,,0,,0,,0,,0,,,,23,,33,
2016-02-06,2016,2,6,хр,4.3,,-2.1,,1.1,,16.9,,0,,0,,0,T,0,T,,,26,,52,
2016-02-07,2016,2,7,хр,6.1,,-2.5,,1.8,,16.2,,0,,0,,0,,0,,,,15,,33,
2016-02-08,2016,2,8,хр,5.2,,-1.8,,1.7,,16.3,,0,,0,,1,,1,,1,,9,,44,
