Date/Time,Year,Month,Day,Data Quality,Max Temp (хЁC),Max Temp Flag,Min Temp (хЁC),Min Temp Flag,Mean Temp (хЁC),Mean Temp Flag,Heat Deg Days (хЁC),Heat Deg Days Flag,Cool Deg Days (хЁC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2014-01-01,2014,1,1,хр,6.5,,3,,4.8,,13.2,,0,,0.8,,0,,0.8,,,,,,<31,
2014-01-02,2014,1,2,хр,7.5,,5.2,,6.4,,11.6,,0,,13.8,,0,,13.8,,,,28,,80,
2014-01-03,2014,1,3,хр,6.8,,0.5,,3.7,,14.3,,0,,0,,0,,0,,,,28,,76,
2014-01-04,2014,1,4,хр,4.9,,-2.9,,1,,17,,0,,0,,0,,0,,,,,,<31,
2014-01-05,2014,1,5,хр,4.7,,-3.4,,0.7,,17.3,,0,,0,,0,,0,,,,,,<31,
2014-01-06,2014,1,6,хр,3.7,,-3.2,,0.3,,17.7,,0,,0,,0,,0,,,,,,<31,
2014-01-07,2014,1,7,хр,7.1,,1.1,,4.1,,13.9,,0,,12.2,,0,,12.2,,,,,,<31,
2014-01-08,2014,1,8,хр,7.8,,5.9,,6.9,,11.1,,0,,19.8,,0,,19.8,,,,12,,41,
2014-01-09,2014,1,9,хр,7.3,,3.4,,5.4,,12.6,,0,,17,,0,,17,,,,26,,72,
2014-01-10,2014,1,10,хр,7.9,,3.1,,5.5,,12.5,,0,,18.8,,0,,18.8,,,,8,,46,
2014-01-11,2014,1,11,хр,9.4,,4.9,,7.2,,10.8,,0,,38.2,,0,,38.2,,,,27,,70,
2014-01-12,2014,1,12,хр,6.6,,3.6,,5.1,,12.9,,0,,8.8,,0,,8.8,,,,27,,70,
2014-01-13,2014,1,13,хр,12.1,,3.2,,7.7,,10.3,,0,,0,,0,,0,,,,,,<31,
2014-01-14,2014,1,14,хр,9.8,,5.5,,7.7,,10.3,,0,,0,,0,,0,,,,,,<31,
2014-01-15,2014,1,15,хр,8.3,,3.4,,5.9,,12.1,,0,,0,,0,,0,,,,,,<31,
2014-01-16,2014,1,16,хр,6.9,,0.1,,3.5,,14.5,,0,,0,,0,,0,,,,,,<31,
2014-01-17,2014,1,17,хр,5.5,,3.6,,4.6,,13.4,,0,,0,,0,,0,,,,,,<31,
2014-01-18,2014,1,18,хр,5.4,,1.5,,3.5,,14.5,,0,,0,,0,,0,,,,,,<31,
2014-01-19,2014,1,19,хр,6.7,,0.7,,3.7,,14.3,,0,,0,,0,,0,,,,,,<31,
2014-01-20,2014,1,20,хр,6.1,,0.3,,3.2,,14.8,,0,,0,,0,,0,,,,,,<31,
2014-01-21,2014,1,21,хр,6.3,,-0.6,,2.9,,15.1,,0,,0,,0,,0,,,,,,<31,
2014-01-22,2014,1,22,хр,7.2,,1.9,,4.6,,13.4,,0,,0,,0,,0,,,,,,<31,
2014-01-23,2014,1,23,хр,6,,-0.7,,2.7,,15.3,,0,,0,,0,,0,,,,,,<31,
2014-01-24,2014,1,24,хр,5.3,,1.5,,3.4,,14.6,,0,,0,,0,,0,,,,,,<31,
2014-01-25,2014,1,25,хр,9.8,,-0.4,,4.7,,13.3,,0,,0,,0,,0,,,,,,<31,
2014-01-26,2014,1,26,хр,4,,1.4,,2.7,,15.3,,0,,0,,0,,0,,,,,,<31,
2014-01-27,2014,1,27,хр,5,,0.7,,2.9,,15.1,,0,,0,,0,,0,,,,,,<31,
2014-01-28,2014,1,28,хр,7.6,,4.6,,6.1,,11.9,,0,,1.2,,0,,1.2,,,,,,<31,
2014-01-29,2014,1,29,хр,7.3,,5.2,,6.3,,11.7,,0,,6,,0,,6,,,,29,,44,
2014-01-30,2014,1,30,хр,6.3,,2.8,,4.6,,13.4,,0,,5.6,,0,,5.6,,,,11,,37,
2014-01-31,2014,1,31,хр,5.5,,0.3,,2.9,,15.1,,0,,0,,0,,0,,,,,,<31,
