Date/Time,Year,Month,Day,Data Quality,Max Temp (хЁC),Max Temp Flag,Min Temp (хЁC),Min Temp Flag,Mean Temp (хЁC),Mean Temp Flag,Heat Deg Days (хЁC),Heat Deg Days Flag,Cool Deg Days (хЁC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2013-01-01,2013,1,1,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-02,2013,1,2,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-03,2013,1,3,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-04,2013,1,4,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-05,2013,1,5,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,2013,1,6,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,2013,1,7,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-08,2013,1,8,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-09,2013,1,9,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-10,2013,1,10,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-11,2013,1,11,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-12,2013,1,12,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-13,2013,1,13,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-14,2013,1,14,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-15,2013,1,15,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-16,2013,1,16,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-17,2013,1,17,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-18,2013,1,18,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-19,2013,1,19,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-20,2013,1,20,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-21,2013,1,21,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-22,2013,1,22,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-23,2013,1,23,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-24,2013,1,24,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-25,2013,1,25,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-26,2013,1,26,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-27,2013,1,27,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-28,2013,1,28,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-29,2013,1,29,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-30,2013,1,30,хр,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,2013,1,31,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-01,2013,2,1,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-02,2013,2,2,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-03,2013,2,3,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-04,2013,2,4,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-05,2013,2,5,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-06,2013,2,6,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-07,2013,2,7,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-08,2013,2,8,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-09,2013,2,9,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-10,2013,2,10,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-11,2013,2,11,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-12,2013,2,12,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-13,2013,2,13,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-14,2013,2,14,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-15,2013,2,15,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-16,2013,2,16,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-17,2013,2,17,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-18,2013,2,18,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-19,2013,2,19,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-20,2013,2,20,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-21,2013,2,21,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,2013,2,22,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-23,2013,2,23,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-24,2013,2,24,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-25,2013,2,25,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-26,2013,2,26,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-27,2013,2,27,хр,,,,,,,,,,,,,,,,,,,,,,
2013-02-28,2013,2,28,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-01,2013,3,1,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-02,2013,3,2,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-03,2013,3,3,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-04,2013,3,4,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-05,2013,3,5,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-06,2013,3,6,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-07,2013,3,7,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-08,2013,3,8,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-09,2013,3,9,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-10,2013,3,10,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-11,2013,3,11,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-12,2013,3,12,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-13,2013,3,13,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-14,2013,3,14,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-15,2013,3,15,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-16,2013,3,16,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-17,2013,3,17,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-18,2013,3,18,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-19,2013,3,19,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-20,2013,3,20,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-21,2013,3,21,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-22,2013,3,22,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-23,2013,3,23,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-24,2013,3,24,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-25,2013,3,25,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-26,2013,3,26,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-27,2013,3,27,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-28,2013,3,28,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-29,2013,3,29,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-30,2013,3,30,хр,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,2013,3,31,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,2013,4,1,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-02,2013,4,2,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-03,2013,4,3,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-04,2013,4,4,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-05,2013,4,5,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-06,2013,4,6,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-07,2013,4,7,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-08,2013,4,8,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-09,2013,4,9,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-10,2013,4,10,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-11,2013,4,11,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-12,2013,4,12,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-13,2013,4,13,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-14,2013,4,14,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-15,2013,4,15,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-16,2013,4,16,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-17,2013,4,17,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-18,2013,4,18,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-19,2013,4,19,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-20,2013,4,20,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-21,2013,4,21,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-22,2013,4,22,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-23,2013,4,23,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-24,2013,4,24,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-25,2013,4,25,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-26,2013,4,26,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-27,2013,4,27,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-28,2013,4,28,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-29,2013,4,29,хр,,,,,,,,,,,,,,,,,,,,,,
2013-04-30,2013,4,30,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-01,2013,5,1,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-02,2013,5,2,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-03,2013,5,3,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-04,2013,5,4,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-05,2013,5,5,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-06,2013,5,6,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-07,2013,5,7,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-08,2013,5,8,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-09,2013,5,9,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-10,2013,5,10,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-11,2013,5,11,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-12,2013,5,12,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-13,2013,5,13,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-14,2013,5,14,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-15,2013,5,15,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-16,2013,5,16,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-17,2013,5,17,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-18,2013,5,18,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-19,2013,5,19,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-20,2013,5,20,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-21,2013,5,21,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-22,2013,5,22,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-23,2013,5,23,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-24,2013,5,24,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-25,2013,5,25,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-26,2013,5,26,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-27,2013,5,27,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-28,2013,5,28,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-29,2013,5,29,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-30,2013,5,30,хр,,,,,,,,,,,,,,,,,,,,,,
2013-05-31,2013,5,31,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-01,2013,6,1,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-02,2013,6,2,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-03,2013,6,3,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-04,2013,6,4,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-05,2013,6,5,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-06,2013,6,6,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-07,2013,6,7,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-08,2013,6,8,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-09,2013,6,9,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-10,2013,6,10,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-11,2013,6,11,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-12,2013,6,12,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-13,2013,6,13,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-14,2013,6,14,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-15,2013,6,15,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-16,2013,6,16,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-17,2013,6,17,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-18,2013,6,18,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-19,2013,6,19,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-20,2013,6,20,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-21,2013,6,21,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-22,2013,6,22,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-23,2013,6,23,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-24,2013,6,24,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-25,2013,6,25,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-26,2013,6,26,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-27,2013,6,27,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-28,2013,6,28,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-29,2013,6,29,хр,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,2013,6,30,хр,,,,,,,,,,,,,,,,,,,,,,
2013-07-01,2013,7,1,хр,,,,,,,,,,,,,,,,,,,,,,
