Date/Time,Year,Month,Day,Data Quality,Max Temp (хбC),Max Temp Flag,Min Temp (хбC),Min Temp Flag,Mean Temp (хбC),Mean Temp Flag,Heat Deg Days (хбC),Heat Deg Days Flag,Cool Deg Days (хбC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2014-01-01,2014,1,1,ха,-3.7,,-13.5,,-8.6,,26.6,,0,,,M,,M,0,,50,,20,,43,
2014-01-02,2014,1,2,ха,-0.7,,-10.7,,-5.7,,23.7,,0,,,M,,M,0,,46,,11,,33,
2014-01-03,2014,1,3,ха,-7.6,,-20.3,,-14,,32,,0,,,M,,M,0,,45,,,,<31,
2014-01-04,2014,1,4,ха,-9.6,,-21.9,,-15.8,,33.8,,0,,,M,,M,3,,44,,,,<31,
2014-01-05,2014,1,5,ха,-1.5,,-10,,-5.8,,23.8,,0,,,M,,M,0,,45,,17,,39,
2014-01-06,2014,1,6,ха,-1.8,,-7.5,,-4.7,,22.7,,0,,,M,,M,0,,44,,,,<31,
2014-01-07,2014,1,7,ха,-2.4,,-4.8,,-3.6,,21.6,,0,,,M,,M,0.2,,43,,19,,33,
2014-01-08,2014,1,8,ха,-2.8,,-8.9,,-5.9,,23.9,,0,,,M,,M,,M,43,,,,<31,
2014-01-09,2014,1,9,ха,-5.6,,-11.7,,-8.7,,26.7,,0,,,M,,M,3.7,,44,,,,<31,
2014-01-10,2014,1,10,ха,-8.7,,-14.8,,-11.8,,29.8,,0,,,M,,M,0,,45,,,,<31,
2014-01-11,2014,1,11,ха,-10.9,,-17,,-14,,32,,0,,,M,,M,0.9,,45,,,,<31,
2014-01-12,2014,1,12,ха,-16.8,,-25.4,,-21.1,,39.1,,0,,,M,,M,0,,46,,,,<31,
2014-01-13,2014,1,13,ха,-7,,-27.3,,-17.2,,35.2,,0,,,M,,M,0.3,,46,,,,<31,
2014-01-14,2014,1,14,ха,1.7,,-7.1,,-2.7,,20.7,,0,,,M,,M,3.6,,46,,28,,46,
2014-01-15,2014,1,15,ха,2.9,,-2.1,,0.4,,17.6,,0,,,M,,M,0,,45,,25,,44,
2014-01-16,2014,1,16,ха,7.2,,-0.2,,3.5,,14.5,,0,,,M,,M,0,,45,,20,,41,
2014-01-17,2014,1,17,ха,4.4,,0.6,,2.5,,15.5,,0,,,M,,M,0,,44,,16,,41,
2014-01-18,2014,1,18,ха,5.7,,-3.9,,0.9,,17.1,,0,,,M,,M,0,,44,,19,,41,
2014-01-19,2014,1,19,ха,0.5,,-4,,-1.8,,19.8,,0,,,M,,M,0,,43,,,,<31,
2014-01-20,2014,1,20,ха,-1.3,,-5.6,,-3.5,,21.5,,0,,,M,,M,0,,43,,,,<31,
2014-01-21,2014,1,21,ха,-1.5,,-6.4,,-4,,22,,0,,,M,,M,0,,43,,17,,37,
2014-01-22,2014,1,22,ха,4.9,,-3.7,,0.6,,17.4,,0,,,M,,M,0,,42,,21,,35,
2014-01-23,2014,1,23,ха,9.2,,2.9,,6.1,,11.9,,0,,,M,,M,0,,42,,21,,33,
2014-01-24,2014,1,24,ха,6.9,,3.1,,5,,13,,0,,,M,,M,0,,40,,17,,43,
2014-01-25,2014,1,25,ха,5.1,,-3.6,,0.8,,17.2,,0,,,M,,M,0,,36,,,,<31,
2014-01-26,2014,1,26,ха,0.9,,-3.2,,-1.2,,19.2,,0,,,M,,M,0,,35,,,,<31,
2014-01-27,2014,1,27,ха,-2.8,,-7.3,,-5.1,,23.1,,0,,,M,,M,0,,35,,,,<31,
2014-01-28,2014,1,28,ха,-4.3,,-10.7,,-7.5,,25.5,,0,,,M,,M,0,,35,,20,,33,
2014-01-29,2014,1,29,ха,-5.6,,-13.3,,-9.5,,27.5,,0,,,M,,M,0,,35,,,,<31,
2014-01-30,2014,1,30,ха,-7.3,,-11.7,,-9.5,,27.5,,0,,,M,,M,0,,35,,,,<31,
2014-01-31,2014,1,31,ха,-10.1,,-12.6,,-11.4,,29.4,,0,,,M,,M,0,,35,,,,<31,
2014-02-01,2014,2,1,ха,-5.9,,-11.2,,-8.6,,26.6,,0,,,M,,M,0,,36,,,,<31,
2014-02-02,2014,2,2,ха,-7.6,,-11.4,,-9.5,,27.5,,0,,,M,,M,0,,36,,,,<31,
2014-02-03,2014,2,3,ха,-9.7,,-21.7,,-15.7,,33.7,,0,,,M,,M,0,,37,,,,<31,
2014-02-04,2014,2,4,ха,-18.2,,-26.7,,-22.5,,40.5,,0,,,M,,M,0,,36,,,,<31,
2014-02-05,2014,2,5,ха,-18.4,,-28.4,,-23.4,,41.4,,0,,,M,,M,0,,36,,,,<31,
2014-02-06,2014,2,6,ха,-17.6,,-30.5,,-24.1,,42.1,,0,,,M,,M,0,,36,,21,,32,
