Date/Time,Year,Month,Day,Data Quality,Max Temp (хбC),Max Temp Flag,Min Temp (хбC),Min Temp Flag,Mean Temp (хбC),Mean Temp Flag,Heat Deg Days (хбC),Heat Deg Days Flag,Cool Deg Days (хбC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2007-01-01,2007,1,1,,-9.5,,-20.9,,-15.2,,33.2,,0,,0,,0,,0,,29,,,,,
2007-01-02,2007,1,2,,-3.3,,-15.1,,-9.2,,27.2,,0,,0,,0,,0,,30,,,,,
2007-01-03,2007,1,3,,5.5,,-7,,-0.8,,18.8,,0,,0,,0,,0,,29,,,,,
2007-01-04,2007,1,4,,2.3,,-1.4,,0.5,,17.5,,0,,0,,0,,0,,27,,,,,
2007-01-05,2007,1,5,,-0.1,,-5.2,,-2.7,,20.7,,0,,0,,0,,0,,26,,,,,
2007-01-06,2007,1,6,,-4,,-15.3,,-9.7,,27.7,,0,,0,,0,,0,,25,,,,,
2007-01-07,2007,1,7,,-3.7,,-18.9,,-11.3,,29.3,,0,,0,,0,,0,,25,,,,,
2007-01-08,2007,1,8,,-11.8,,-22.8,,-17.3,,35.3,,0,,0,,0,,0,,25,,,,,
2007-01-09,2007,1,9,,-14.5,,-22.6,,-18.6,,36.6,,0,,0,,0,,0,,25,,,,,
2007-01-10,2007,1,10,,-7.8,,-18.4,,-13.1,,31.1,,0,,0,,0,,0,,25,,,,,
2007-01-11,2007,1,11,,-10.3,,-30.6,,-20.5,,38.5,,0,,0,,0,,0,,24,,,,,
2007-01-12,2007,1,12,,-27.6,,-37.9,,-32.8,,50.8,,0,,0,,0,,0,,24,,,,,
2007-01-13,2007,1,13,,-15.4,,-30,,-22.7,,40.7,,0,,0,,0,,0,,24,,,,,
2007-01-14,2007,1,14,,-25.3,,-33.4,,-29.4,,47.4,,0,,0,,0,,0,,24,,,,,
2007-01-15,2007,1,15,,-22,,-33.1,,-27.6,,45.6,,0,,0,,0,,0,,24,,,,,
2007-01-16,2007,1,16,,-11.2,,-30.8,,-21,,39,,0,,0,,0,,0,,24,,,,,
2007-01-17,2007,1,17,,-7.5,,-12.9,,-10.2,,28.2,,0,,0,,0,,0,,24,,,,,
2007-01-18,2007,1,18,,-7.6,,-24.9,,-16.3,,34.3,,0,,0,,0,,0,,24,,,,,
2007-01-19,2007,1,19,,-15.6,,-31,,-23.3,,41.3,,0,,0,,0,,0,,24,,,,,
2007-01-20,2007,1,20,,-5.4,,-17.1,,-11.3,,29.3,,0,,0,,0,,0,,24,,,,,
2007-01-21,2007,1,21,,-5.7,,-15.3,,-10.5,,28.5,,0,,0,,0,,0,,25,,,,,
2007-01-22,2007,1,22,,-4.9,,-18.7,,-11.8,,29.8,,0,,0,,0,,0,,25,,,,,
2007-01-23,2007,1,23,,-11,,-22,,-16.5,,34.5,,0,,0,,0,,0,,25,,,,,
2007-01-24,2007,1,24,,-8.6,,-24.7,,-16.7,,34.7,,0,,0,,0,,0,,24,,,,,
2007-01-25,2007,1,25,,-3.4,,-24.5,,-14,,32,,0,,0,,0,,0,,25,,,,,
2007-01-26,2007,1,26,,-2,,-19.9,,-11,,29,,0,,0,,0,,0,,24,,,,,
2007-01-27,2007,1,27,,-16.7,,-28.3,,-22.5,,40.5,,0,,0,,0,,0,,24,,,,,
2007-01-28,2007,1,28,,-14.4,,-28.2,,-21.3,,39.3,,0,,0,,0,,0,,24,,,,,
2007-01-29,2007,1,29,,-14.5,,-28.4,,-21.5,,39.5,,0,,0,,0,,0,,24,,,,,
2007-01-30,2007,1,30,,-14.4,,-27.7,,-21.1,,39.1,,0,,0,,0,,0,,24,,,,,
2007-01-31,2007,1,31,,-14.6,,-22.9,,-18.8,,36.8,,0,,0,,1,,1,,24,,,,,
2007-02-01,2007,2,1,,-13.8,,-22.9,,-18.4,,36.4,,0,,0,,0,,0,,24,,,,,
2007-02-02,2007,2,2,,-20.6,,-33.2,,-26.9,,44.9,,0,,0,,0,,0,,24,,,,,
2007-02-03,2007,2,3,,-26.1,,-38.5,,-32.3,,50.3,,0,,0,,0,,0,,24,,,,,
2007-02-04,2007,2,4,,-26.7,,-39.7,,-33.2,,51.2,,0,,0,,0,,0,,24,,,,,
2007-02-05,2007,2,5,,-24.8,,-42.2,,-33.5,,51.5,,0,,0,,0,,0,,24,,,,,
2007-02-06,2007,2,6,,-23.7,,-34.5,,-29.1,,47.1,,0,,0,,0,,0,,24,,,,,
2007-02-07,2007,2,7,,-18.9,,-34.2,,-26.6,,44.6,,0,,0,,0,,0,,24,,,,,
2007-02-08,2007,2,8,,-19.6,,-31.6,,-25.6,,43.6,,0,,0,,0,,0,,24,,,,,
2007-02-09,2007,2,9,,-20.4,,-32.9,,-26.7,,44.7,,0,,0,,0,,0,,24,,,,,
2007-02-10,2007,2,10,,-16.8,,-29.5,,-23.2,,41.2,,0,,0,,0,,0,,24,,,,,
2007-02-11,2007,2,11,,-19.5,,-31.3,,-25.4,,43.4,,0,,0,,0,,0,,24,,,,,
2007-02-12,2007,2,12,,-22.3,,-36.1,,-29.2,,47.2,,0,,0,,0,,0,,24,,,,,
2007-02-13,2007,2,13,,-20.3,,-35.9,,-28.1,,46.1,,0,,0,,0,,0,,24,,,,,
2007-02-14,2007,2,14,,-18.9,,-34.5,,-26.7,,44.7,,0,,0,,0,,0,,24,,,,,
2007-02-15,2007,2,15,,-11,,-26.6,,-18.8,,36.8,,0,,0,,0,,0,,24,,,,,
2007-02-16,2007,2,16,,-5.6,,-12.3,,-9,,27,,0,,0,,0,,0,,24,,,,,
2007-02-17,2007,2,17,,-11.8,,-22.3,,-17.1,,35.1,,0,,0,,0,,0,,24,,,,,
2007-02-18,2007,2,18,,-5.6,,-26,,-15.8,,33.8,,0,,0,,0,,0,,24,,,,,
2007-02-19,2007,2,19,,-5.5,,-16,,-10.8,,28.8,,0,,0,,5,,5,,24,,,,,
2007-02-20,2007,2,20,,-7.1,,-14.1,,-10.6,,28.6,,0,,0,,6,,6,,29,,,,,
2007-02-21,2007,2,21,,-7.7,,-14.4,,-11.1,,29.1,,0,,0,,0,,0,,28,,,,,
2007-02-22,2007,2,22,,-8.8,,-21.9,,-15.4,,33.4,,0,,0,,0,,0,,25,,,,,
2007-02-23,2007,2,23,,-3.9,,-13,,-8.5,,26.5,,0,,0,,0,,0,,25,,,,,
2007-02-24,2007,2,24,,-3.9,,-5.6,,-4.8,,22.8,,0,,0,,3,,3,,24,,,,,
2007-02-25,2007,2,25,,-3.9,,-5.6,,-4.8,,22.8,,0,,0,,3,,3,,28,,,,,
2007-02-26,2007,2,26,,-4.4,,-7.3,,-5.9,,23.9,,0,,0,,1,,1,,29,,,,,
2007-02-27,2007,2,27,,-4,,-10.7,,-7.4,,25.4,,0,,0,,2,,2,,31,,,,,
2007-02-28,2007,2,28,,-0.8,,-6.4,,-3.6,,21.6,,0,,0,,0,,0,,32,,,,,
2007-03-01,2007,3,1,,-2,,-10.5,,-6.3,,24.3,,0,,0,,,M,,M,33,,,,,
2007-03-02,2007,3,2,,-6.4,,-14.2,,-10.3,,28.3,,0,,0,,,M,,M,31,,,,,
2007-03-03,2007,3,3,,-9.3,,-23,,-16.2,,34.2,,0,,0,,0,,0,,31,,,,,
2007-03-04,2007,3,4,,-3.2,,-23.8,,-13.5,,31.5,,0,,0,,0,,0,,31,,,,,
2007-03-05,2007,3,5,,-17.8,,-30.7,,-24.3,,42.3,,0,,0,,0,,0,,31,,,,,
2007-03-06,2007,3,6,,-11,,-17.8,,-14.4,,32.4,,0,,0,,,M,,M,31,,,,,
2007-03-07,2007,3,7,,-9,,-21.2,,-15.1,,33.1,,0,,0,,0,,0,,,M,,,,
2007-03-08,2007,3,8,,-0.5,,-9.1,,-4.8,,22.8,,0,,0,,0,,0,,31,,,,,
2007-03-09,2007,3,9,,1.6,,-8.9,,-3.7,,21.7,,0,,0,,0,,0,,30,,,,,
2007-03-10,2007,3,10,,2.5,,-15.2,,-6.4,,24.4,,0,,0,,0,,0,,27,,,,,
2007-03-11,2007,3,11,,3.3,,-6.1,,-1.4,,19.4,,0,,0,,0,,0,,29,,,,,
2007-03-12,2007,3,12,,6.8,,-2.3,,2.3,,15.7,,0,,0,,0,,0,,28,,,,,
2007-03-13,2007,3,13,,4.5,,-3.8,,0.4,,17.6,,0,,0,,0,,0,,25,,,,,
2007-03-14,2007,3,14,,-2.3,,-16.4,,-9.4,,27.4,,0,,0,,0,,0,,23,,,,,
2007-03-15,2007,3,15,,-9.2,,-17.4,,-13.3,,31.3,,0,,0,,0,,0,,23,,,,,
2007-03-16,2007,3,16,,-5.7,,-17.8,,-11.8,,29.8,,0,,0,,0,,0,,23,,,,,
2007-03-17,2007,3,17,,-2,,-16.7,,-9.4,,27.4,,0,,0,,0,,0,,23,,,,,
2007-03-18,2007,3,18,,1.1,,-2.9,,-0.9,,18.9,,0,,0,,0,,0,,23,,,,,
2007-03-19,2007,3,19,,-1.9,,-17.9,,-9.9,,27.9,,0,,0,,0,,0,,23,,,,,
2007-03-20,2007,3,20,,2.5,,-17.8,,-7.7,,25.7,,0,,0,,0,,0,,23,,,,,
2007-03-21,2007,3,21,,4.5,,-6.3,,-0.9,,18.9,,0,,0,,0,,0,,20,,,,,
2007-03-22,2007,3,22,,1.7,,-7.3,,-2.8,,20.8,,0,,0,,0,,0,,21,,,,,
2007-03-23,2007,3,23,,5.5,,-4,,0.8,,17.2,,0,,3.9,E,0,,3.9,E,18,,,,,
2007-03-24,2007,3,24,,4.9,,-4.4,,0.3,,17.7,,0,,0,,0,,0,,9,,,,,
2007-03-25,2007,3,25,,8.1,,2.4,,5.3,,12.7,,0,,0,,0,,0,,8,,,,,
2007-03-26,2007,3,26,,7,,-2.6,,2.2,,15.8,,0,,1.2,E,0,,1.2,E,,M,,,,
2007-03-27,2007,3,27,,9.4,,-3.7,,2.9,,15.1,,0,,0,,,M,,M,,M,,,,
2007-03-28,2007,3,28,,6.3,,1.9,,4.1,,13.9,,0,,2.4,E,0,,2.4,E,,M,,,,
2007-03-29,2007,3,29,,3.7,,-3.2,,0.3,,17.7,,0,,14.1,E,1,,15.1,E,,M,,,,
2007-03-30,2007,3,30,,7.3,,-5.3,,1,,17,,0,,0,,3.7,,3.7,,,M,,,,
2007-03-31,2007,3,31,,3.9,,0.4,,2.2,,15.8,,0,,0,,0,,0,,,M,,,,
2007-04-01,2007,4,1,,2.8,,-2.2,,0.3,,17.7,,0,,0,,10.4,,10.4,,,,,,,
2007-04-02,2007,4,2,,-2.1,,-8.5,,-5.3,,23.3,,0,,0,,0,,0,,,,,,,
2007-04-03,2007,4,3,,-6.9,,-12.3,,-9.6,,27.6,,0,,0,,0,,0,,,,,,,
2007-04-04,2007,4,4,,-4.6,,-13.2,,-8.9,,26.9,,0,,0,,0,,0,,,,,,,
2007-04-05,2007,4,5,,-3.5,,-13.8,,-8.7,,26.7,,0,,0,,0,,0,,,,,,,
2007-04-06,2007,4,6,,-3.9,,-13.6,,-8.8,,26.8,,0,,0,,0,,0,,,,,,,
2007-04-07,2007,4,7,,-0.6,,-11.7,,-6.2,,24.2,,0,,0,,0,,0,,,,,,,
2007-04-08,2007,4,8,,0.7,,-12.9,,-6.1,,24.1,,0,,0,,0,,0,,,,,,,
2007-04-09,2007,4,9,,3.8,,-11.3,,-3.8,,21.8,,0,,0,,0,,0,,,,,,,
2007-04-10,2007,4,10,,7.5,,-7.5,,0,,18,,0,,0,,0,,0,,,,,,,
2007-04-11,2007,4,11,,7.8,,-5.6,,1.1,,16.9,,0,,0,,0,,0,,,,,,,
2007-04-12,2007,4,12,,8.3,,-5,,1.7,,16.3,,0,,0,,0,,0,,,,,,,
2007-04-13,2007,4,13,,12.8,,-3.9,,4.5,,13.5,,0,,0,,0,,0,,,,,,,
2007-04-14,2007,4,14,,12,,-7,,2.5,,15.5,,0,,0,,0,,0,,,,,,,
2007-04-15,2007,4,15,,18.2,,0.2,,9.2,,8.8,,0,,0,,0,,0,,,,,,,
2007-04-16,2007,4,16,,16.2,,-0.6,,7.8,,10.2,,0,,1.1,,0,,1.1,,,,,,,
2007-04-17,2007,4,17,,16.8,,-5.6,,5.6,,12.4,,0,,0,,0,,0,,,,,,,
2007-04-18,2007,4,18,,19.8,,-0.2,,9.8,,8.2,,0,,0,,0,,0,,,,,,,
2007-04-19,2007,4,19,,18.6,,1.4,,10,,8,,0,,0,,0,,0,,,,,,,
2007-04-20,2007,4,20,,22,,8.9,,15.5,,2.5,,0,,0,,0,,0,,,,,,,
2007-04-21,2007,4,21,,20.2,,3.6,,11.9,,6.1,,0,,0.5,,0,,0.5,,,,,,,
2007-04-22,2007,4,22,,18,,-0.1,,9,,9,,0,,0,,0,,0,,,,,,,
2007-04-23,2007,4,23,,14.9,,-4.7,,5.1,,12.9,,0,,0,,0,,0,,,,,,,
2007-04-24,2007,4,24,,15,,0.7,,7.9,,10.1,,0,,0,,0,,0,,,,,,,
2007-04-25,2007,4,25,,23.3,,-1.7,,10.8,,7.2,,0,,0,,0,,0,,,,,,,
2007-04-26,2007,4,26,,23.5,,3.2,,13.4,,4.6,,0,,0,,0,,0,,,,,,,
2007-04-27,2007,4,27,,19.2,,5.1,,12.2,,5.8,,0,,0,,0,,0,,,,,,,
2007-04-28,2007,4,28,,26.5,,5.7,,16.1,,1.9,,0,,0,,0,,0,,,,,,,
2007-04-29,2007,4,29,,19.7,,4.1,,11.9,,6.1,,0,,0,,0,,0,,,,,,,
2007-04-30,2007,4,30,,20.1,,6.2,,13.2,,4.8,,0,,3,,0,,3,,,,,,,
2007-05-01,2007,5,1,,16.1,,4.6,,10.4,,7.6,,0,,0,,0,,0,,0,,,,,
2007-05-02,2007,5,2,,17.6,,2,,9.8,,8.2,,0,,0,,0,,0,,0,,,,,
2007-05-03,2007,5,3,,23.8,,8.5,,16.2,,1.8,,0,,0,,0,,0,,0,,,,,
2007-05-04,2007,5,4,,14.7,,10.3,,12.5,,5.5,,0,,14.3,,0,,14.3,,0,,,,,
2007-05-05,2007,5,5,,15,,9,,12,,6,,0,,7,,0,,7,,0,,,,,
2007-05-06,2007,5,6,,17.4,,9.5,,13.5,,4.5,,0,,1.1,,0,,1.1,,0,,,,,
2007-05-07,2007,5,7,,24.4,,9.6,,17,,1,,0,,0,,0,,0,,0,,,,,
2007-05-08,2007,5,8,,28.9,,10.3,,19.6,,0,,1.6,,0,,0,,0,,0,,,,,
2007-05-09,2007,5,9,,31.1,,13.3,,22.2,,0,,4.2,,0,,0,,0,,0,,,,,
2007-05-10,2007,5,10,,20.4,,4.5,,12.5,,5.5,,0,,0,,0,,0,,0,,,,,
2007-05-11,2007,5,11,,14.1,,3.8,,9,,9,,0,,0,,0,,0,,0,,,,,
2007-05-12,2007,5,12,,20.6,,0.6,,10.6,,7.4,,0,,0,,0,,0,,0,,,,,
2007-05-13,2007,5,13,,23.3,,10.2,,16.8,,1.2,,0,,0,,0,,0,,0,,,,,
2007-05-14,2007,5,14,,12.3,,7.4,,9.9,,8.1,,0,,3.5,,0,,3.5,,0,,,,,
2007-05-15,2007,5,15,,16.3,,4.2,,10.3,,7.7,,0,,0,,0,,0,,0,,,,,
2007-05-16,2007,5,16,,16.1,,-1.6,,7.3,,10.7,,0,,0,,0,,0,,0,,,,,
2007-05-17,2007,5,17,,24.8,,4.8,,14.8,,3.2,,0,,0.7,,0,,0.7,,0,,,,,
2007-05-18,2007,5,18,,17.2,,3.5,,10.4,,7.6,,0,,0.5,,0,,0.5,,0,,,,,
2007-05-19,2007,5,19,,12.6,,2.5,,7.6,,10.4,,0,,0,,0,,0,,0,,,,,
2007-05-20,2007,5,20,,10.3,,3.6,,7,,11,,0,,2.4,,0,,2.4,,0,,,,,
2007-05-21,2007,5,21,,22.4,,8.3,,15.4,,2.6,,0,,2.3,,0,,2.3,,0,,,,,
2007-05-22,2007,5,22,,18.4,,13.2,,15.8,,2.2,,0,,25.3,,0,,25.3,,0,,,,,
2007-05-23,2007,5,23,,18,,8.9,,13.5,,4.5,,0,,2.8,,0,,2.8,,0,,,,,
2007-05-24,2007,5,24,,10.8,,3.6,,7.2,,10.8,,0,,0.7,,0,,0.7,,0,,,,,
2007-05-25,2007,5,25,,10,,1.9,,6,,12,,0,,0,,0,,0,,0,,,,,
2007-05-26,2007,5,26,,7.2,,1.8,,4.5,,13.5,,0,,7.7,,0,,7.7,,0,,,,,
2007-05-27,2007,5,27,,18,,-0.2,,8.9,,9.1,,0,,0,,0,,0,,0,,,,,
2007-05-28,2007,5,28,,20.2,,6.5,,13.4,,4.6,,0,,0,,0,,0,,0,,,,,
2007-05-29,2007,5,29,,18.6,,9.9,,14.3,,3.7,,0,,1.1,,0,,1.1,,0,,,,,
