Date/Time,Year,Month,Day,Data Quality,Max Temp (å¡C),Max Temp Flag,Min Temp (å¡C),Min Temp Flag,Mean Temp (å¡C),Mean Temp Flag,Heat Deg Days (å¡C),Heat Deg Days Flag,Cool Deg Days (å¡C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2000-01-01,2000,1,1,,-12.7,,-26.7,,-19.7,,37.7,,0,,,,,,,,,,,,,
2000-01-02,2000,1,2,,-12.7,,-24.3,,-18.5,,36.5,,0,,,,,,,,,,,,,
2000-01-03,2000,1,3,,-18.1,,-26.9,,-22.5,,40.5,,0,,,,,,,,,,,,,
2000-01-04,2000,1,4,,-15.4,,-30.5,,-23,,41,,0,,,,,,,,,,,,,
2000-01-05,2000,1,5,,-9,,-17.6,,-13.3,,31.3,,0,,,,,,,,,,,,,
2000-01-06,2000,1,6,,-17.6,,-26.6,,-22.1,,40.1,,0,,,,,,,,,,,,,
2000-01-07,2000,1,7,,-3.8,,-25.4,,-14.6,,32.6,,0,,,,,,,,,,,,,
2000-01-08,2000,1,8,,-2.7,,-14.7,,-8.7,,26.7,,0,,,,,,,,,,,,,
2000-01-09,2000,1,9,,-0.8,,-13.8,,-7.3,,25.3,,0,,,,,,,,,,,,,
2000-01-10,2000,1,10,,-7.6,,-21.3,,-14.5,,32.5,,0,,,,,,,,,,,,,
2000-01-11,2000,1,11,,-20.8,,-31.5,,-26.2,,44.2,,0,,,,,,,,,,,,,
2000-01-12,2000,1,12,,-23.2,,-33,,-28.1,,46.1,,0,,,,,,,,,,,,,
2000-01-13,2000,1,13,,-17.4,,-25.6,,-21.5,,39.5,,0,,,,,,,,,,,,,
2000-01-14,2000,1,14,,-12.6,,-22.5,,-17.6,,35.6,,0,,,,,,,,,,,,,
