,2012
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
10,
17,
26,
31,
39,
49,
60,
60,
60,
65,
73,
78,
85,
86,
81,
82,
78,
78,
68,
65,
63,
60,
55,
0,2013
-3,
-13,
-14,
-14,
-20,
-20,
-20,
-20,
-21,
-25,
-31,
-32,
-32,
-38,
-38,
-40,
-37,
-37,
-33,
-24,
-21,
-14,
-7,
-7,
-4,
4,
12,
21,
30,
38,
47,
56,
66,
71,
71,
81,
82,
90,
88,
97,
97,
97,
98,
97,
98,
88,
86,
78,
68,
58,
49,
0,2014
-12,
-20,
-20,
-27,
-38,
-45,
-51,
-60,
-70,
-78,
-77,
-83,
-91,
-95,
-96,
-93,
-89,
-90,
-83,
-76,
-67,
-60,
-53,
-45,
-35,
-27,
-18,
-13,
-5,
2,
9,
18,
29,
37,
46,
47,
46,
56,
63,
68,
74,
80,
82,
81,
72,
68,
62,
53,
52,
49,
50,
0,2015
-8,
-20,
-20,
-17,
-26,
-32,
-34,
-40,
-48,
-46,
-46,
-47,
-43,
-44,
-44,
-36,
-29,
-22,
-20,
-14,
-8,
1,
11,
16,
25,
36,
45,
56,
63,
69,
74,
82,
89,
95,
99,
104,
111,
118,
126,
129,
136,
138,
142,
147,
146,
145,
137,
137,
132,
127,
125,
0,2016
-5,
-14,
-16,
-22,
-24,
-22,
-22,
-17,
-16,
-16,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
-17,
